phyname	dN	dNse	dS	dSse	dNdS	genea1	genea1mvld
Mvsl_MvDv_A1pair_1174.results.txt	2.13252	0.86937	8.21029	29.98730	0.259737	MvSl-1064-A1-R4_MC01-1g01771	MvSlatifolia-1318-D-TG7-PbcR_C01g00077
Mvsl_MvDv_A1pair_1176.results.txt	0.02170	0.02183	0.00022	0.00371	98.6359	MvSl-1064-A1-R4_MC01-1g01773	MvSlatifolia-1318-D-TG7-PbcR_C01g00079
Mvsl_MvDv_A1pair_1177.results.txt	1.39117	0.43172	5.99214	9.41272	0.232166	MvSl-1064-A1-R4_MC01-1g01774	MvSlatifolia-1318-D-TG7-PbcR_C01g00080
Mvsl_MvDv_A1pair_1178.results.txt	0.26307	0.22722	1.56644	1.99809	0.167941	MvSl-1064-A1-R4_MC01-1g01775	MvSlatifolia-1318-D-TG7-PbcR_C01g00081
Mvsl_MvDv_A1pair_118.results.txt	0.05765	0.04283	0.00058	0.00347	99.3964	MvSl-1064-A1-R4_A1g00152	MvSlatifolia-1318-D-TG7-PbcR_C03g03170
Mvsl_MvDv_A1pair_1180.results.txt	0.99830	0.39670	0.97192	0.53667	1.02714	MvSl-1064-A1-R4_MC01-1g01777	MvSlatifolia-1318-D-TG7-PbcR_C01g00083
Mvsl_MvDv_A1pair_1184.results.txt	21.42587	31.88061	3.13317	4.21564	6.8384	MvSl-1064-A1-R4_MC01-1g01782	MvSlatifolia-1318-D-TG7-PbcR_C01g00087
Mvsl_MvDv_A1pair_1185.results.txt	0.87237	0.37745	1.36237	1.36477	0.640333	MvSl-1064-A1-R4_MC01-1g01783	MvSlatifolia-1318-D-TG7-PbcR_C01g00088
Mvsl_MvDv_A1pair_1189.results.txt	9.17182	13.19660	1.50328	1.34459	6.10121	MvSl-1064-A1-R4_MC01-1g01788	MvSlatifolia-1318-D-TG7-PbcR_C01g00093
Mvsl_MvDv_A1pair_119.results.txt	2.03960	0.00000	93.27829	410.17010	0.0218658	MvSl-1064-A1-R4_A1g00153	MvSlatifolia-1318-D-TG7-PbcR_C03g03169
