gene	chr	chrom	DE	expmean	dN	dNse	dS	dSse	dnds	haploid
MvSl-1064-A1-R4_A1g01440	bPAR	bPAR	NON	6.92832	0	0.00381	0.00001	0.00856	0	A1
MvSl-1064-A1-R4_A1g01441	bPAR	bPAR	NON	6.24213	0.01362	0.00518	0.01183	0.00457	1.1513	A1
MvSl-1064-A1-R4_A1g01444	bPAR	bPAR	NON	11.1721	0.00001	0.00002	0.01298	0.00763	0.00077041	A1
MvSl-1064-A1-R4_A1g01445	bPAR	bPAR	NON	7.4255	0	0	0.00497	0.00017	0	A1
MvSl-1064-A1-R4_A1g01447	bPAR	bPAR	NON	6.01318	0.00102	0.00102	0.00001	0.00009	100.99	A1
MvSl-1064-A1-R4_A1g01448	bPAR	bPAR	NON	2.05354	0.01699	0.00565	0.05651	0.01803	0.300654	A1
MvSl-1064-A1-R4_A1g01450	bPAR	bPAR	NON	4.71363	0.00751	0.00336	0.00497	0.00223	1.51104	A1
MvSl-1064-A1-R4_A1g01451	bPAR	bPAR	NON	5.38225	0.0814	0.02254	0.17164	0.05798	0.474248	A1
MvSl-1064-A1-R4_A1g01453	bPAR	bPAR	NON	7.68574	0.00001	0	0.00573	0.00051	0.00174517	A1
MvSl-1064-A1-R4_A1g01454	bPAR	bPAR	NON	2.66356	0.79033	0.12019	1.79365	0.60166	0.440627	A1
MvSl-1064-A1-R4_A1g01455	bPAR	bPAR	NON	3.16122	0	0.00004	0.00002	0.00107	0	A1
MvSl-1064-A1-R4_A1g01458	bPAR	bPAR	NON	6.70289	0	0	0.0046	0	0	A1
MvSl-1064-A1-R4_A1g01460	bPAR	bPAR	NON	6.89203	0	0	0	0	0	A1
MvSl-1064-A1-R4_A1g01461	bPAR	bPAR	NON	6.26923	0.00124	0.00124	0.00001	0.00003	122.772	A1
MvSl-1064-A1-R4_A1g01462	bPAR	bPAR	NON	7.58324	0.00361	0.00256	0.006	0.00606	0.601657	A1
MvSl-1064-A1-R4_A1g01466	bPAR	bPAR	NON	6.51004	0.00454	0.00151	0.00553	0.00247	0.820962	A1
MvSl-1064-A1-R4_A1g01467	bPAR	bPAR	NON	5.6423	0.00484	0.00686	0.01301	0.02144	0.372019	A1
MvSl-1064-A1-R4_A1g01468	bPAR	bPAR	NON	5.55393	0.00508	0.00228	0.00906	0.00455	0.5607	A1
MvSl-1064-A1-R4_A1g01470	bPAR	bPAR	NON	5.73752	0.00553	0.00319	0.00352	0.00349	1.57098	A1
MvSl-1064-A1-R4_A1g01471	bPAR	bPAR	NON	6.6995	0.00301	0.00214	0.0076	0.00543	0.396047	A1
MvSl-1064-A1-R4_A1g01472	bPAR	bPAR	NON	5.83431	0.00594	0.00597	0.00663	0.00667	0.895914	A1
MvSl-1064-A1-R4_A1g01476	bPAR	bPAR	NON	4.3558	0.00182	0.00077	0.00739	0.00297	0.246275	A1
MvSl-1064-A1-R4_A1g01477	bPAR	bPAR	NON	7.1217	0.00681	0.00239	0.01793	0.00632	0.379808	A1
MvSl-1064-A1-R4_A1g01480	bPAR	bPAR	NON	1.22976	0.00881	0.00625	0.01303	0.01308	0.676127	A1
MvSl-1064-A1-R4_A1g01485	bPAR	bPAR	NON	6.93855	0.00569	0.0033	0.00006	0.00013	94.6755	A1
MvSl-1064-A1-R4_A1g01486	bPAR	bPAR	NON	5.9952	0.0036	0.00179	0.00422	0.00294	0.85306	A1
MvSl-1064-A1-R4_A1g01487	bPAR	bPAR	NON	9.59629	0	0	0.00001	0	0	A1
