gene	rich1	rich2
MvSl-1064-A1-R4_A1g00339	38	23
MvSl-1064-A1-R4_A1g00340	149.731	346
MvSl-1064-A1-R4_A1g00341	62.9727	171.583
MvSl-1064-A1-R4_A1g00342	417	586
MvSl-1064-A1-R4_A1g00343	108.063	175.871
MvSl-1064-A1-R4_A1g00344	2	0
MvSl-1064-A1-R4_A1g00345	8.94792	1.01693
MvSl-1064-A1-R4_A1g00346	544.512	650.651
MvSl-1064-A1-R4_A1g00347	12.9467	14.1537
MvSl-1064-A1-R4_A1g00348	121.028	178.357
MvSl-1064-A1-R4_A1g00349	29	20
MvSl-1064-A1-R4_A1g00350	1391	1531
MvSl-1064-A1-R4_A1g00351	2887	3602
MvSl-1064-A1-R4_A1g00352	689	906
MvSl-1064-A1-R4_A1g00353	915.114	1420.14
MvSl-1064-A1-R4_A1g00354	10.5739	23.2097
MvSl-1064-A1-R4_A1g00355	1724.45	2383.47
MvSl-1064-A1-R4_A1g00356	21.2506	19.2004
MvSl-1064-A1-R4_A1g00357	452.118	393.86
MvSl-1064-A1-R4_A1g00358	1695.76	1977.02
MvSl-1064-A1-R4_A1g00359	21828	32484
MvSl-1064-A1-R4_A1g00360	1226.36	989.528
MvSl-1064-A1-R4_A1g00361	2215.45	1354.41
MvSl-1064-A1-R4_A1g00362	97.4797	56.6757
MvSl-1064-A1-R4_A1g00363	1272.32	2309.57
MvSl-1064-A1-R4_A1g00364	1320.35	2837.62
MvSl-1064-A1-R4_A1g00365	2.55419	3.42545
MvSl-1064-A1-R4_A1g00366	458.243	528.288
MvSl-1064-A1-R4_A1g00367	1134	1258
MvSl-1064-A1-R4_A1g00368	2313	3732
MvSl-1064-A1-R4_A1g00369	3374	4384
MvSl-1064-A1-R4_A1g00370	2065	2349
MvSl-1064-A1-R4_A1g00371	3419.93	4492.78
MvSl-1064-A1-R4_A1g00372	4575	6043
MvSl-1064-A1-R4_A1g00373	1027	2123
MvSl-1064-A1-R4_A1g00374	554	351
MvSl-1064-A1-R4_A1g00375	312.13	432.667
MvSl-1064-A1-R4_A1g00376	30.2794	16.7175
MvSl-1064-A1-R4_A1g00377	33.1881	24.4227
MvSl-1064-A1-R4_A1g00378	14	9
MvSl-1064-A1-R4_A1g00379	50	80
MvSl-1064-A1-R4_A1g00380	2290.42	3292.55
MvSl-1064-A1-R4_A1g00381	1	1.249
MvSl-1064-A1-R4_A1g00382	459.169	276.696
MvSl-1064-A1-R4_A1g00383	852	1522
MvSl-1064-A1-R4_A1g00384	1	1
MvSl-1064-A1-R4_A1g00385	0	0
MvSl-1064-A1-R4_A1g00386	0	0
MvSl-1064-A1-R4_A1g00387	3.07928	9
MvSl-1064-A1-R4_A1g00388	85.0474	72.2665
MvSl-1064-A1-R4_A1g00389	1943	1950
MvSl-1064-A1-R4_A1g00390	410	405
MvSl-1064-A1-R4_A1g00391	4735	7010
MvSl-1064-A1-R4_A1g00392	2	2
MvSl-1064-A1-R4_A1g00393	3	3
MvSl-1064-A1-R4_A1g00394	3597	6638
MvSl-1064-A1-R4_A1g00395	3873	4764
MvSl-1064-A1-R4_A1g00396	4328	6775
MvSl-1064-A1-R4_A1g00397	13026	21783
MvSl-1064-A1-R4_A1g00398	12957	23882
MvSl-1064-A1-R4_A1g00399	12173	20709
MvSl-1064-A1-R4_A1g00400	189	204
MvSl-1064-A1-R4_A1g00401	17240	30850
MvSl-1064-A1-R4_A1g00402	4414	5392
MvSl-1064-A1-R4_A1g00403	2914	4186
MvSl-1064-A1-R4_A1g00404	270	421
MvSl-1064-A1-R4_A1g00405	918	1783
MvSl-1064-A1-R4_A1g00406	1176	1838
MvSl-1064-A1-R4_A1g00407	2934	4064
MvSl-1064-A1-R4_A1g00408	150.831	102.926
MvSl-1064-A1-R4_A1g00409	5896.49	8982.73
MvSl-1064-A1-R4_A1g00410	459.969	312.38
MvSl-1064-A1-R4_A1g00411	60.1317	46.3725
MvSl-1064-A1-R4_A1g00412	23.5307	20.3592
MvSl-1064-A1-R4_A1g00413	2186.16	4045.2
MvSl-1064-A1-R4_A1g00414	1555.48	1181.68
MvSl-1064-A1-R4_A1g00415	5	2
MvSl-1064-A1-R4_A1g00416	225.218	226.007
MvSl-1064-A1-R4_A1g00417	141.027	119.402
MvSl-1064-A1-R4_A1g00418	38.5086	45.527
MvSl-1064-A1-R4_A1g00419	0	1
MvSl-1064-A1-R4_A1g00420	4.66889	3.26609
MvSl-1064-A1-R4_A1g00421	2.41193	2.8408
MvSl-1064-A1-R4_A1g00422	491.211	726.438
MvSl-1064-A1-R4_A1g00423	432.117	173.664
MvSl-1064-A1-R4_A1g00424	0	0
MvSl-1064-A1-R4_A1g00425	0	0
MvSl-1064-A1-R4_A1g00426	0	1
MvSl-1064-A1-R4_A1g00427	112.328	167.575
MvSl-1064-A1-R4_A1g00428	200.489	142.427
MvSl-1064-A1-R4_A1g00429	152.403	101.338
