gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00919	33.8509	71.6463	185.576	261.937	35.4544	46.6638
MvSl-1064-A1-R4_A1g00925	118.698	104.185	42.4959	41.2526	59.883	66.7609
MvSl-1064-A1-R4_A1g00926	212.162	214.322	69.5384	72.1607	200.125	121.811
MvSl-1064-A1-R4_A1g00931	155	120	55	18	122	182
MvSl-1064-A1-R4_A1g00932	5	5.00298	0	1.00589	6.01561	3.00572
MvSl-1064-A1-R4_A1g00935	6.20568	9.1924	19.9784	12.4591	4.47291	4.19483
MvSl-1064-A1-R4_A1g00936	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00937	0	0	0	0	1.02566	0
MvSl-1064-A1-R4_A1g00939	8	5	1	0	0	3
MvSl-1064-A1-R4_A1g00942	1.11891	1.00173	0	0	1.00175	0
MvSl-1064-A1-R4_A1g00945	25	23.0835	13	6	31.0465	76.4126
MvSl-1064-A1-R4_A1g00946	5	3.06067	3	2	7	11
MvSl-1064-A1-R4_A1g00947	62.2874	68.4135	93	58.6117	65.1229	49.7724
MvSl-1064-A1-R4_A1g00950	4	0	2	2	2	1
MvSl-1064-A1-R4_A1g00951	254.044	236.618	273.073	250.693	175.91	196.309
MvSl-1064-A1-R4_A1g00953	21	9	8	7	7	14.0551
MvSl-1064-A1-R4_A1g00967	536.708	521.397	160.187	168.042	329.191	365.525
MvSl-1064-A1-R4_A1g00976	143.575	81.84	195.68	307.669	33.5756	51.7332
MvSl-1064-A1-R4_A1g00978	1.06716	3.87601	1.10227	0	3.2263	3.25378
MvSl-1064-A1-R4_A1g00980	316.647	533.079	3431.7	1008.36	651.502	776.305
MvSl-1064-A1-R4_A1g00981	0.595399	1.23439	24.048	5.39247	0	0
MvSl-1064-A1-R4_A1g00984	0	3.6365	3.42066	0	0	0
MvSl-1064-A1-R4_A1g00987	3.06595	3.04336	3.0116	0	3.01275	3.0086
MvSl-1064-A1-R4_A1g00989	2.02319	0	0	1.00724	0	0
MvSl-1064-A1-R4_A1g00990	1.02707	6.04387	1.03484	1.00358	8.10757	11.3065
MvSl-1064-A1-R4_A1g00992	4.01029	3.00261	1	0	3	3.00098
MvSl-1064-A1-R4_A1g00993	0	0	0	0	0	1
MvSl-1064-A1-R4_A1g00994	68.711	21.1996	6.05921	1.7121	5.90284	14.7061
MvSl-1064-A1-R4_A1g00996	2370	2083	413	564	2055.19	2065.75
MvSl-1064-A1-R4_A1g01000	251.657	244.3	139.334	247.327	159.378	178.314
MvSl-1064-A1-R4_A1g01001	44.4561	45.0191	25.5721	37.6457	201.383	382.523
MvSl-1064-A1-R4_A1g01002	1.63428	0	0	0	0	0
MvSl-1064-A1-R4_A1g01004	13.4404	2.19895	2.09883	2.2031	4.5714	11.4871
MvSl-1064-A1-R4_A1g01008	1.0095	1.01052	0	0	1.01376	4.06538
MvSl-1064-A1-R4_A1g01010	57	117.735	169.824	285.855	60.6088	106.06
MvSl-1064-A1-R4_A1g01011	1216.54	1618.43	3778.13	4477.35	951.338	916.541
MvSl-1064-A1-R4_A1g01012	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g01013	69.2415	120.288	73.0995	108.282	60.0532	51.4555
MvSl-1064-A1-R4_A1g01019	834.934	841.5	1020.34	1111.41	584.585	565.22
MvSl-1064-A1-R4_A1g01020	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g01023	0	0	0	0	1.00971	0
MvSl-1064-A1-R4_A1g01026	0	1	0	0	0	0
MvSl-1064-A1-R4_A1g01032	27.9785	28.2485	42.6137	10.7602	24.9719	28.4678
MvSl-1064-A1-R4_A1g01033	257.064	208.763	181.746	171.518	196.241	170.292
MvSl-1064-A1-R4_A1g01034	2631.57	3561.18	345.449	623.394	895.638	2225.98
MvSl-1064-A1-R4_A1g01037	1	6	6	10	1	4
MvSl-1064-A1-R4_A1g01039	0	3	0	0	1.0204	0
MvSl-1064-A1-R4_A1g01040	81.5853	53.7467	92.7476	65.2237	75.5774	112.633
MvSl-1064-A1-R4_A1g01042	2	2	1	0	0	0
MvSl-1064-A1-R4_A1g01043	6	5	0	0	0	0
MvSl-1064-A1-R4_A1g01044	8.28403	8.28899	2.07691	0	1.03138	3.07989
MvSl-1064-A1-R4_A1g01048	0	1.15434	0	0	45.3595	30.9905
MvSl-1064-A1-R4_A1g01051	6	4	1	1	3	3
