gene A1 A2 ave_count
MvSl-1064-A1-R4_A1g01352 233.749 261.004 247.377
MvSl-1064-A1-R4_A1g01356 21.3636 15.8306 18.5971
MvSl-1064-A1-R4_A1g01360 135.493 114.056 124.774
MvSl-1064-A1-R4_A1g01370 1120 911 1015.5
MvSl-1064-A1-R4_A1g01371 83 52 67.5
MvSl-1064-A1-R4_A1g01377 521 403 462
MvSl-1064-A1-R4_A1g01391 56.8312 52.689 54.7601
MvSl-1064-A1-R4_A1g01395 228 243 235.5
MvSl-1064-A1-R4_A1g01398 31 27 29
MvSl-1064-A1-R4_A1g01400 23 11 17
MvSl-1064-A1-R4_A1g01401 277 77 177
MvSl-1064-A1-R4_A1g01402 359 362 360.5
MvSl-1064-A1-R4_A1g01403 84 59 71.5
MvSl-1064-A1-R4_A1g01410 43.1212 41.4036 42.2624
MvSl-1064-A1-R4_A1g01425 18.5246 8.25961 13.3921
MvSl-1064-A1-R4_A1g01429 180.442 172.788 176.615
MvSl-1064-A1-R4_A1g01430 159.377 135.734 147.555
