gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_A1g00909	497.716	683.658	220.228	49.5074						
MvSl-1064-A1-R4_A1g01302	64	36	1691.28	2186.95						
MvSl-1064-A1-R4_A1g00516	8503	11361	5513	6089						
MvSl-1064-A1-R4_A1g00517	6348	5182	9717	7556						
MvSl-1064-A1-R4_A1g00518	1466	1955	1445	1690						
MvSl-1064-A1-R4_A1g00519	3007	3082	2917	2640						
MvSl-1064-A1-R4_A1g00520	880	1055	903	1014						
MvSl-1064-A1-R4_A1g00521	1020	1718	1070	1481						
MvSl-1064-A1-R4_A1g01227	2806	4878	2859	4355						
MvSl-1064-A1-R4_A1g01228	180	211	262	251						
MvSl-1064-A1-R4_A1g00646	6049	8612	2701	3191						
MvSl-1064-A1-R4_A1g00645	1144	1483	1478	1523						
MvSl-1064-A1-R4_A1g00653	210	376	112.059	165.586						
MvSl-1064-A1-R4_A1g01175	15.2556	23.9681	1.25963	1.0701						
MvSl-1064-A1-R4_A1g01347	1509	1427	3765	3460						
MvSl-1064-A1-R4_A1g01348	2993	3050	3719	3991						
MvSl-1064-A1-R4_A1g01350	1225	1356	1281	1393						
MvSl-1064-A1-R4_A1g01351	22745	23300	23427	26925						
MvSl-1064-A1-R4_A1g01127	27.8287	20	97.9422	68.1945						
MvSl-1064-A1-R4_A1g01164	983.628	1012.27	795	816						
MvSl-1064-A1-R4_A1g00150	15.807	11.5	1	2						
MvSl-1064-A1-R4_A1g00977	373.858	279.476	217	217						
MvSl-1064-A1-R4_A1g00913	2380	2157	1364.88	1261.18						
MvSl-1064-A1-R4_A1g00920	1499	1254	906	735						
MvSl-1064-A1-R4_A1g00921	2890	3339	4016	3849						
MvSl-1064-A1-R4_A1g00923	220	162	494	465						
MvSl-1064-A1-R4_A1g00922	1537	1667	2221	2185						
MvSl-1064-A1-R4_A1g00912	776	1018	784	995						
MvSl-1064-A1-R4_A1g00911	1863	2526	1783	2455						
MvSl-1064-A1-R4_A1g00794	708	774	806	922						
MvSl-1064-A1-R4_A1g00328	115	184	215	327						
MvSl-1064-A1-R4_A1g01413	146.59	94.3103	122.052	69.3323						
MvSl-1064-A1-R4_A1g00448	5847	8004	1976.62	1716.85						
MvSl-1064-A1-R4_A1g00478	2689.19	2862.85	2721.44	3119.11						
