gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_MC01-1g01713	533	534
MvSl-1064-A1-R4_MC01-1g01714	1	0
MvSl-1064-A1-R4_MC01-1g01725	1579	1165
MvSl-1064-A1-R4_MC01-1g01726	3092	2603
MvSl-1064-A1-R4_MC01-1g01728	4048.36	3150.34
MvSl-1064-A1-R4_MC01-1g01729	1161	882
MvSl-1064-A1-R4_MC01-1g01730	686	828
MvSl-1064-A1-R4_MC01-1g01731	33254	42622
MvSl-1064-A1-R4_MC01-1g01732	6	4
MvSl-1064-A1-R4_MC01-1g01733	1	1
MvSl-1064-A1-R4_MC01-1g01734	435	412
MvSl-1064-A1-R4_MC01-1g01735	19	45
MvSl-1064-A1-R4_MC01-1g01743	2162	1949
MvSl-1064-A1-R4_MC01-1g01744	6189	5949
MvSl-1064-A1-R4_MC01-1g01748	897	749
MvSl-1064-A1-R4_MC01-1g01749	73.09	64.0329
MvSl-1064-A1-R4_MC01-1g01751	5297	4632
MvSl-1064-A1-R4_MC01-1g01754	779	738
MvSl-1064-A1-R4_MC01-1g01755	2291	2506
MvSl-1064-A1-R4_MC01-1g01756	1077.28	925.693
MvSl-1064-A1-R4_MC01-1g01760	25412.3	51244.8
MvSl-1064-A1-R4_MC01-1g01763	2029	1836
MvSl-1064-A1-R4_MC01-1g01765	382.843	327.697
MvSl-1064-A1-R4_MC01-1g01766	1684	1715
MvSl-1064-A1-R4_MC01-1g01767	1384	1783
MvSl-1064-A1-R4_MC01-1g01768	1881	3927
MvSl-1064-A1-R4_MC01-1g01769	1936	2127
MvSl-1064-A1-R4_MC01-1g01770	3287	3350
MvSl-1064-A1-R4_MC01-1g01771	4034	4263
MvSl-1064-A1-R4_MC01-1g01778	8	12
MvSl-1064-A1-R4_MC01-1g01780	1200	1234
MvSl-1064-A1-R4_MC01-1g01782	1471.32	1383.91
MvSl-1064-A1-R4_MC01-1g01796	3769	3731
MvSl-1064-A1-R4_MC01-1g01797	341	343
MvSl-1064-A1-R4_MC01-1g01799	1028	1231
MvSl-1064-A1-R4_MC01-1g01800	7039	4661
MvSl-1064-A1-R4_MC01-1g01801	2310	1998
MvSl-1064-A1-R4_MC01-1g01802	8740	7765
MvSl-1064-A1-R4_MC01-1g01803	8473	6466
MvSl-1064-A1-R4_MC01-1g01804	1069	778
MvSl-1064-A1-R4_MC01-1g01805	2854	2668
MvSl-1064-A1-R4_MC01-1g01806	4420	4726
MvSl-1064-A1-R4_MC01-1g01808	1414.96	1937.98
MvSl-1064-A1-R4_MC01-1g01809	3996	4271
MvSl-1064-A1-R4_MC01-1g01810	389	377
MvSl-1064-A1-R4_MC01-1g01811	431	379
MvSl-1064-A1-R4_MC01-1g01812	1867	1630
MvSl-1064-A1-R4_MC01-1g01813	1709	1390
MvSl-1064-A1-R4_MC01-1g01814	608	902
MvSl-1064-A1-R4_MC01-1g01815	10	11
MvSl-1064-A1-R4_MC01-1g01816	2985	2247
MvSl-1064-A1-R4_MC01-1g01817	2882	3510
MvSl-1064-A1-R4_MC01-1g01818	1361	1292
MvSl-1064-A1-R4_MC01-1g01819	2559	2291
MvSl-1064-A1-R4_MC01-1g01820	360	642
MvSl-1064-A1-R4_MC01-1g01821	5090	3430
MvSl-1064-A1-R4_MC01-1g01822	1377	2192
MvSl-1064-A1-R4_MC01-1g01823	2169	2690
MvSl-1064-A1-R4_MC01-1g01824	4004	4440
MvSl-1064-A1-R4_MC01-1g01825	3	13
MvSl-1064-A1-R4_MC01-1g01826	48	34
MvSl-1064-A1-R4_MC01-1g01834	367	324
MvSl-1064-A1-R4_MC01-1g01840	2332	2635
MvSl-1064-A1-R4_MC01-1g01841	1538	1058
MvSl-1064-A1-R4_MC01-1g01843	10	5
MvSl-1064-A1-R4_MC01-1g01844	678	457
MvSl-1064-A1-R4_MC01-1g01845	2538	2444
MvSl-1064-A1-R4_MC01-1g01846	3736	3061
MvSl-1064-A1-R4_MC01-1g01847	18	8
MvSl-1064-A1-R4_MC01-1g01849	4426	3660
MvSl-1064-A1-R4_MC01-1g01850	315	241
MvSl-1064-A1-R4_MC01-1g01851	2239	1648
MvSl-1064-A1-R4_MC01-1g01852	1773	1428
MvSl-1064-A1-R4_MC01-1g01853	2334	2204
MvSl-1064-A1-R4_MC01-1g01854	89	95
MvSl-1064-A1-R4_MC01-1g01855	2749	2992
MvSl-1064-A1-R4_MC01-1g01856	3119	3522
MvSl-1064-A1-R4_MC01-1g01857	260	216
MvSl-1064-A1-R4_MC01-1g01858	232	170
MvSl-1064-A1-R4_MC01-1g01859	7851	6361
MvSl-1064-A1-R4_MC01-1g01860	1400	1469
MvSl-1064-A1-R4_MC01-1g01861	9034	7606
MvSl-1064-A1-R4_MC01-1g01862	5409	5477
MvSl-1064-A1-R4_MC01-1g01863	2063	2006
MvSl-1064-A1-R4_MC01-1g01864	827	1014
MvSl-1064-A1-R4_MC01-1g01865	639	885
MvSl-1064-A1-R4_MC01-1g01866	11	15
MvSl-1064-A1-R4_MC01-1g01867	954	1121
MvSl-1064-A1-R4_MC01-1g01868	714	559
MvSl-1064-A1-R4_MC01-1g01869	1476	1245
MvSl-1064-A1-R4_MC01-1g01870	9382.69	9636.7
MvSl-1064-A1-R4_MC01-1g01871	2232	2302
MvSl-1064-A1-R4_MC01-1g01872	1986	2128
MvSl-1064-A1-R4_MC01-1g01873	2552	2460
MvSl-1064-A1-R4_MC01-1g01874	2190	2025
MvSl-1064-A1-R4_MC01-1g01875	4765	6147
MvSl-1064-A1-R4_MC01-1g01876	9583	9130
MvSl-1064-A1-R4_MC01-1g01877	484	409
MvSl-1064-A1-R4_MC01-1g01878	1151	1946
MvSl-1064-A1-R4_MC01-1g01879	352	383
MvSl-1064-A1-R4_MC01-1g01880	2513	3297.79
MvSl-1064-A1-R4_MC01-1g01881	2443	3169
MvSl-1064-A1-R4_MC01-1g01882	1001	789
MvSl-1064-A1-R4_MC01-1g01883	312	342
MvSl-1064-A1-R4_MC01-1g01884	523	672
MvSl-1064-A1-R4_MC01-1g01885	784	1500
MvSl-1064-A1-R4_MC01-1g01886	2876	2286
MvSl-1064-A1-R4_MC01-1g01887	3309	2188
MvSl-1064-A1-R4_MC01-1g01888	445	785
MvSl-1064-A1-R4_MC01-1g01889	2708	2598
MvSl-1064-A1-R4_MC01-1g01890	2988	2209
MvSl-1064-A1-R4_MC01-1g01891	239	155
MvSl-1064-A1-R4_MC01-1g01892	2314	2189
MvSl-1064-A1-R4_MC01-1g01893	2079	1791
MvSl-1064-A1-R4_MC01-1g01894	11824	13816
MvSl-1064-A1-R4_MC01-1g01896	2019	1562
MvSl-1064-A1-R4_MC01-1g01897	4824	4131
MvSl-1064-A1-R4_MC01-1g01898	584	541
MvSl-1064-A1-R4_MC01-1g01899	8724	8330
MvSl-1064-A1-R4_MC01-1g01900	737	735
MvSl-1064-A1-R4_MC01-1g01901	2522	1441
MvSl-1064-A1-R4_MC01-1g01902	2315	2793
MvSl-1064-A1-R4_MC01-1g01903	19	16
MvSl-1064-A1-R4_MC01-1g01904	2119	2356
MvSl-1064-A1-R4_MC01-1g01905	2640	2750
MvSl-1064-A1-R4_MC01-1g01906	3955	3245
MvSl-1064-A1-R4_MC01-1g01907	2550	1947
MvSl-1064-A1-R4_MC01-1g01908	0	1
MvSl-1064-A1-R4_MC01-1g01912	2527	2550
MvSl-1064-A1-R4_MC01-1g01913	5674	5062
MvSl-1064-A1-R4_MC01-1g01914	3	2
MvSl-1064-A1-R4_MC01-1g01915	1583	1193
MvSl-1064-A1-R4_MC01-1g01916	1638	1455
MvSl-1064-A1-R4_MC01-1g01918	2811	2235
MvSl-1064-A1-R4_MC01-1g01919	9584	9960
MvSl-1064-A1-R4_MC01-1g01921	2139.32	1949.67
MvSl-1064-A1-R4_MC01-1g01922	505	692
MvSl-1064-A1-R4_MC01-1g01923	6986	6937
MvSl-1064-A1-R4_MC01-1g01924	2109	2147
MvSl-1064-A1-R4_MC01-1g01925	3575	3639
MvSl-1064-A1-R4_MC01-1g01926	1027	556
MvSl-1064-A1-R4_MC01-1g01927	1094	1090
MvSl-1064-A1-R4_MC01-1g01928	5421	4952.39
MvSl-1064-A1-R4_MC01-1g01930	41	35
MvSl-1064-A1-R4_MC01-1g01932	1438	1730
MvSl-1064-A1-R4_MC01-1g01933	3277	3173
MvSl-1064-A1-R4_MC01-1g01934	3166	2408
MvSl-1064-A1-R4_MC01-1g01935	2873	2307
MvSl-1064-A1-R4_MC01-1g01936	2306	2290
MvSl-1064-A1-R4_MC01-1g01938	6883	7847
MvSl-1064-A1-R4_MC01-1g01939	1556	1614
MvSl-1064-A1-R4_MC01-1g01940	1691	1460
MvSl-1064-A1-R4_MC01-1g01941	2348	2247
MvSl-1064-A1-R4_MC01-1g01942	587	565
MvSl-1064-A1-R4_MC01-1g01943	2831	2874
MvSl-1064-A1-R4_MC01-1g01944	2327	1700
MvSl-1064-A1-R4_MC01-1g01945	5116	4234
MvSl-1064-A1-R4_MC01-1g01946	581	526
MvSl-1064-A1-R4_MC01-1g01947	2278	2160
MvSl-1064-A1-R4_MC01-1g01948	3125	2345
MvSl-1064-A1-R4_MC01-1g01949	1559	1329
MvSl-1064-A1-R4_MC01-1g01951	2262	2051
MvSl-1064-A1-R4_MC01-1g01952	3223	3453
MvSl-1064-A1-R4_MC01-1g01953	1677	1507
MvSl-1064-A1-R4_MC01-1g01954	1811	1497
MvSl-1064-A1-R4_MC01-1g01955	13826	11397
MvSl-1064-A1-R4_MC01-1g01958	2404	2303
MvSl-1064-A1-R4_MC01-1g01959	3119	2396
MvSl-1064-A1-R4_MC01-1g01960	1109	668
MvSl-1064-A1-R4_MC01-1g01961	317	332
MvSl-1064-A1-R4_MC01-1g01962	405	940
MvSl-1064-A1-R4_MC01-1g01963	709	898
MvSl-1064-A1-R4_MC01-1g01965	277	261
MvSl-1064-A1-R4_MC01-1g01966	1120	933
MvSl-1064-A1-R4_MC01-1g01967	1106	1200
MvSl-1064-A1-R4_MC01-1g01968	2208	2605
MvSl-1064-A1-R4_MC01-1g01969	5215	6153
MvSl-1064-A1-R4_MC01-1g01972	3253	3706
MvSl-1064-A1-R4_MC01-1g01973	2844	2939
