gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g00789	7.26059	5.93692	14.3568	9.18065	6.27434	3.60235
MvSl-1064-A2-R4_A2g00807	3	4.07346	4.04733	6.11173	4.11691	1.01537
MvSl-1064-A2-R4_A2g00809	1.05653	3.2456	3.08512	5.16382	31.9753	81.6057
MvSl-1064-A2-R4_A2g00812	56.5213	56.0522	153.664	176.258	90.8063	156.715
MvSl-1064-A2-R4_A2g00816	3530.16	3886.56	4330.63	2696.83	1919.9	1799.42
MvSl-1064-A2-R4_A2g00820	0	1.01608	0	0	0	0
MvSl-1064-A2-R4_A2g00824	209.379	189.308	244.721	260.12	229.603	272.417
MvSl-1064-A2-R4_A2g00827	0	1	0	0	0	0
MvSl-1064-A2-R4_A2g00830	23.1869	21.1507	138.872	174.576	79.4137	119.107
MvSl-1064-A2-R4_A2g00838	3370.72	3326.81	1263.92	1195.41	802.956	788.132
MvSl-1064-A2-R4_A2g00840	389.466	432.939	274.797	261.086	294.002	292.101
MvSl-1064-A2-R4_A2g00843	342.296	391.769	342.236	345.151	1019.79	1082.01
MvSl-1064-A2-R4_A2g00844	372	431.816	30	39	15	18
MvSl-1064-A2-R4_A2g00846	73	68	150.142	177.53	102.934	86.8629
MvSl-1064-A2-R4_A2g00847	73	87	184	234	95	106
MvSl-1064-A2-R4_A2g00848	2	1	17	22	3	2
MvSl-1064-A2-R4_A2g00851	42	44	261	237	126	127
MvSl-1064-A2-R4_A2g00852	17	23	79	90	66	40
MvSl-1064-A2-R4_A2g00853	73.34	30.0458	91.3357	143.466	61.1462	26.9286
MvSl-1064-A2-R4_A2g00870	4.18672	12.5762	9.12499	6.98197	7.74685	3.63909
MvSl-1064-A2-R4_A2g00875	204.704	256.979	217.691	264.328	110.208	138.157
MvSl-1064-A2-R4_A2g00884	52.3034	62.385	53.843	50.9452	44.5416	50.6749
MvSl-1064-A2-R4_A2g00900	1	0	0	0	1	0
MvSl-1064-A2-R4_A2g00906	360.677	287.84	1117.13	1394.21	495.5	614.278
MvSl-1064-A2-R4_A2g00909	202.773	173.848	162.496	180.19	76.5345	84.4237
MvSl-1064-A2-R4_A2g00911	38.0778	25.3917	39.5678	30.3331	72.2885	55.7714
MvSl-1064-A2-R4_A2g00916	304	407	509	529	205	373
MvSl-1064-A2-R4_A2g00917	1999	2156	5486	4428	1550	4354
MvSl-1064-A2-R4_A2g00926	19.0545	20.7719	44.2305	43.0784	32.9464	32.4241
MvSl-1064-A2-R4_A2g00929	1645.38	1217.08	322.896	320.829	359.834	407.03
MvSl-1064-A2-R4_A2g00934	2	3	3	4	0	2
MvSl-1064-A2-R4_A2g00938	0	0	0	1	0	0
MvSl-1064-A2-R4_A2g00940	0	2	74	30	15	17.6048
MvSl-1064-A2-R4_A2g00942	10	7	13	9	12.1663	12.1979
MvSl-1064-A2-R4_A2g00944	31.8212	13.3742	24.1994	19.7118	2.94457	7.54637
MvSl-1064-A2-R4_A2g00945	130.877	176.495	656.338	774.832	186.934	235.981
MvSl-1064-A2-R4_A2g00946	0	7.58065	0	1.35905	0	0
MvSl-1064-A2-R4_A2g00951	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00973	565.911	571.57	1089.59	1214.37	683.273	565.991
MvSl-1064-A2-R4_A2g00974	44.4531	56	97.5496	72.5483	49.4053	50.864
