target_id	a1s1	a1s2
MvSl-1064-A1-R4_A1g01505	124.735	170.162
MvSl-1064-A1-R4_A1g01506	1	1
MvSl-1064-A1-R4_A1g01507	3	0
MvSl-1064-A1-R4_A1g01508	4812	4035
MvSl-1064-A1-R4_A1g01509	1024	1619
MvSl-1064-A1-R4_A1g01510	27.1923	44.0702
MvSl-1064-A1-R4_A1g01511	398.636	530.046
MvSl-1064-A1-R4_A1g01512	22.1529	42.3731
MvSl-1064-A1-R4_A1g01515	817.613	1038.55
MvSl-1064-A1-R4_A1g01516	33	35
MvSl-1064-A1-R4_C24g01523	8.4168	7.82956
MvSl-1064-A1-R4_C24g01525	1.1769	0
MvSl-1064-A1-R4_C24g01526	895.499	907.75
MvSl-1064-A1-R4_C24g01527	10.3616	11.6405
MvSl-1064-A1-R4_C24g01531	22.0162	13.8831
MvSl-1064-A1-R4_C26g01541	7.71429	9.27273
MvSl-1064-A1-R4_C36g01618	1227.82	1140.58
MvSl-1064-A1-R4_C37g01627	0	0
MvSl-1064-A1-R4_C37g01628	0.009821	0.00986156
MvSl-1064-A1-R4_C39g01646	10.1549	5.25571
MvSl-1064-A1-R4_C41g01660	0	0
MvSl-1064-A1-R4_MC01-1g01697	32.4812	29.3843
MvSl-1064-A1-R4_MC01-1g01698	27	24
MvSl-1064-A1-R4_MC01-1g01699	1305.28	1151.69
MvSl-1064-A1-R4_MC01-1g01700	4	3
MvSl-1064-A1-R4_MC01-1g01701	3428	3639
MvSl-1064-A1-R4_MC01-1g01702	104	121
MvSl-1064-A1-R4_MC01-1g01703	583.827	516.108
MvSl-1064-A1-R4_MC01-1g01704	43.9524	67.5
MvSl-1064-A1-R4_MC01-1g01705	412.135	395.808
MvSl-1064-A1-R4_MC01-1g01706	2.68466	1.84742
MvSl-1064-A1-R4_MC01-1g01707	891.235	352.183
MvSl-1064-A1-R4_MC01-1g01708	4247	3064
MvSl-1064-A1-R4_MC01-1g01709	1211	941
MvSl-1064-A1-R4_MC01-1g01710	282	142
MvSl-1064-A1-R4_MC01-1g01711	2543	3031
MvSl-1064-A1-R4_MC01-1g01712	2888	2752
MvSl-1064-A1-R4_MC01-1g01713	261	295
MvSl-1064-A1-R4_MC01-1g01714	1	1
MvSl-1064-A1-R4_MC01-1g01715	32.2861	38.9841
MvSl-1064-A1-R4_MC01-1g01716	221.528	267.155
MvSl-1064-A1-R4_MC01-1g01717	688.223	770.521
MvSl-1064-A1-R4_MC01-1g01718	543.186	563.727
MvSl-1064-A1-R4_MC01-1g01719	36.5371	43.0313
MvSl-1064-A1-R4_MC01-1g01720	1699.92	1790.58
MvSl-1064-A1-R4_MC01-1g01721	6.96904	9.49452
MvSl-1064-A1-R4_MC01-1g01722	22	20.0126
MvSl-1064-A1-R4_MC01-1g01723	165.455	194.299
MvSl-1064-A1-R4_MC01-1g01724	272.676	356.301
MvSl-1064-A1-R4_MC01-1g01725	943	889
MvSl-1064-A1-R4_MC01-1g01726	2046	2055
MvSl-1064-A1-R4_MC01-1g01727	293.677	351.514
MvSl-1064-A1-R4_MC01-1g01728	3338.8	2539.13
MvSl-1064-A1-R4_MC01-1g01729	317	479
MvSl-1064-A1-R4_MC01-1g01730	534	521
MvSl-1064-A1-R4_MC01-1g01731	25734	29373
MvSl-1064-A1-R4_MC01-1g01732	8	6
MvSl-1064-A1-R4_MC01-1g01733	1	0
MvSl-1064-A1-R4_MC01-1g01734	339	274
MvSl-1064-A1-R4_MC01-1g01735	89	129
MvSl-1064-A1-R4_MC01-1g01736	4	3
MvSl-1064-A1-R4_MC01-1g01737	4	5
MvSl-1064-A1-R4_MC01-1g01738	25	34.3345
MvSl-1064-A1-R4_MC01-1g01739	248	238.044
MvSl-1064-A1-R4_MC01-1g01740	162	141
MvSl-1064-A1-R4_MC01-1g01741	1199.19	1284.11
MvSl-1064-A1-R4_MC01-1g01742	2501.75	2573.64
MvSl-1064-A1-R4_MC01-1g01743	1436	1274
MvSl-1064-A1-R4_MC01-1g01744	4073	4247
MvSl-1064-A1-R4_MC01-1g01745	31	29
MvSl-1064-A1-R4_MC01-1g01746	51.8772	59.844
MvSl-1064-A1-R4_MC01-1g01747	0	0
MvSl-1064-A1-R4_MC01-1g01748	592	527
MvSl-1064-A1-R4_MC01-1g01749	68.0806	120.09
MvSl-1064-A1-R4_MC01-1g01750	313.774	468.772
MvSl-1064-A1-R4_MC01-1g01751	3982	4116
MvSl-1064-A1-R4_MC01-1g01752	255	141
MvSl-1064-A1-R4_MC01-1g01753	495	379
MvSl-1064-A1-R4_MC01-1g01754	663	573
MvSl-1064-A1-R4_MC01-1g01755	2013	1696
MvSl-1064-A1-R4_MC01-1g01756	964	616
MvSl-1064-A1-R4_MC01-1g01757	21.1962	25.3414
MvSl-1064-A1-R4_MC01-1g01758	115.689	104.936
MvSl-1064-A1-R4_MC01-1g01759	2.02964	4.1432
MvSl-1064-A1-R4_MC01-1g01760	800.804	1215.66
MvSl-1064-A1-R4_MC01-1g01761	21	36
MvSl-1064-A1-R4_MC01-1g01762	102	110
MvSl-1064-A1-R4_MC01-1g01763	1281	1385
MvSl-1064-A1-R4_MC01-1g01764	45	29
MvSl-1064-A1-R4_MC01-1g01765	131.547	110.662
MvSl-1064-A1-R4_MC01-1g01766	1510	1257
MvSl-1064-A1-R4_MC01-1g01767	1367	1461
MvSl-1064-A1-R4_MC01-1g01768	4683	4076
MvSl-1064-A1-R4_MC01-1g01769	1059	1213
MvSl-1064-A1-R4_MC01-1g01770	2925	2507
MvSl-1064-A1-R4_MC01-1g01771	3293	3132
MvSl-1064-A1-R4_MC01-1g01772	1	0
MvSl-1064-A1-R4_MC01-1g01773	9	7
MvSl-1064-A1-R4_MC01-1g01774	11	11
MvSl-1064-A1-R4_MC01-1g01775	1356.3	1430.79
MvSl-1064-A1-R4_MC01-1g01776	6.58523	6.54759
MvSl-1064-A1-R4_MC01-1g01777	14.2784	16.0783
MvSl-1064-A1-R4_MC01-1g01778	20	34
MvSl-1064-A1-R4_MC01-1g01779	274	339
MvSl-1064-A1-R4_MC01-1g01780	1089	875
