target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_MC14g11807	909	586.89	24.2317	0.994612	MvSl-1064-A2-R4_MC14g12068	909	573.85	14.087	0.444025	MvSl-1064-A2-R4_MC14g12068	909	578.451	8.48746	0.242707	MvSl-1064-A2-R4_MC14g12068	909	573.85	14.087	0.444025
MvSl-1064-A1-R4_MC14g11808	639	328.359	134.768	9.88705	MvSl-1064-A2-R4_MC14g12069	639	316.775	151.913	8.67421	MvSl-1064-A2-R4_MC14g12069	639	319.155	70.5125	3.65457	MvSl-1064-A2-R4_MC14g12069	639	316.775	151.913	8.67421
MvSl-1064-A1-R4_MC14g11809	210	37.4336	1	0.643526	MvSl-1064-A2-R4_MC14g12070	210	38.4851	18.4875	8.68903	MvSl-1064-A2-R4_MC14g12070	210	35.9674	22.4082	10.3055	MvSl-1064-A2-R4_MC14g12070	210	38.4851	18.4875	8.68903
MvSl-1064-A1-R4_MC14g11810	555	253.75	123.955	11.7676	MvSl-1064-A2-R4_MC14g12071	555	243.27	183.042	13.6097	MvSl-1064-A2-R4_MC14g12071	555	244.825	136.886	9.24855	MvSl-1064-A2-R4_MC14g12071	555	243.27	183.042	13.6097
MvSl-1064-A1-R4_MC14g11811	1371	1048.01	584.824	13.4427	MvSl-1064-A2-R4_MC14g12072	1371	1035	894.467	15.6318	MvSl-1064-A2-R4_MC14g12072	1371	1039.77	732.369	11.651	MvSl-1064-A2-R4_MC14g12072	1371	1035	894.467	15.6318
MvSl-1064-A1-R4_MC01-1g02267	1275	952.009	278.481	7.04663	MvSl-1064-A2-R4_MC01g02549	1275	939.004	206.193	3.97185	MvSl-1064-A2-R4_MC01g02549	1275	943.773	189	3.31257	MvSl-1064-A2-R4_MC01g02549	1275	939.004	206.193	3.97185
MvSl-1064-A1-R4_MC14g11812	504	210.175	125.526	14.3873	MvSl-1064-A2-R4_MC14g12073	504	200.207	166.475	15.0403	MvSl-1064-A2-R4_MC14g12073	504	201.681	123.909	10.1627	MvSl-1064-A2-R4_MC14g12073	504	200.207	166.475	15.0403
MvSl-1064-A1-R4_MC14g11813	630	320.092	138	10.3856	MvSl-1064-A2-R4_MC14g12074	630	308.747	255	14.939	MvSl-1064-A2-R4_MC14g12074	630	311.063	157.409	8.37049	MvSl-1064-A2-R4_MC14g12074	630	308.747	255	14.939
MvSl-1064-A1-R4_MC14g11814	858	536.848	137	6.14747	MvSl-1064-A2-R4_MC14g12075	858	523.887	182	6.28376	MvSl-1064-A2-R4_MC14g12075	858	527.835	123	3.85459	MvSl-1064-A2-R4_MC14g12075	858	523.887	182	6.28376
MvSl-1064-A1-R4_MC14g11815	1245	922.009	174.544	4.56034	MvSl-1064-A2-R4_MC14g12076	1245	909.004	250.34	4.98138	MvSl-1064-A2-R4_MC14g12076	1245	913.773	140.334	2.54037	MvSl-1064-A2-R4_MC14g12076	1245	909.004	250.34	4.98138
MvSl-1064-A1-R4_MC14g11816	1863	1540.01	0	0	MvSl-1064-A2-R4_MC14g12077	1863	1527	4.37281	0.0517973	MvSl-1064-A2-R4_MC14g12077	1863	1531.77	1.10876	0.0119733	MvSl-1064-A2-R4_MC14g12077	1863	1527	4.37281	0.0517973
MvSl-1064-A1-R4_MC14g11817	1557	1234.01	33.5866	0.655655	MvSl-1064-A2-R4_MC14g12078	1557	1221	32.9954	0.48879	MvSl-1064-A2-R4_MC14g12078	1557	1225.77	40.5796	0.547607	MvSl-1064-A2-R4_MC14g12078	1557	1221	32.9954	0.48879
MvSl-1064-A1-R4_MC14g11819	177	26.9656	95.7684	85.5539	MvSl-1064-A2-R4_MC14g12080	177	27.6863	87.3997	57.0993	MvSl-1064-A2-R4_MC14g12080	177	26.5008	101.34	63.2547	MvSl-1064-A2-R4_MC14g12080	177	27.6863	87.3997	57.0993
