aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A2-R4_A2g00126	MvSl-1064-A1-R4_A1g00369	2379	2869	MvSl-1064-A2-R4_A2g00126	2722	2931
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A2-R4_A2g00127	MvSl-1064-A1-R4_A1g00370	1605	1660	MvSl-1064-A2-R4_A2g00127	1954	1826
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A2-R4_A2g00128	MvSl-1064-A1-R4_A1g00371	1938	1936	MvSl-1064-A2-R4_A2g00128	2044	1828
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A2-R4_A2g00129	MvSl-1064-A1-R4_A1g00372	2789	3018	MvSl-1064-A2-R4_A2g00129	3748	3722
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A2-R4_A2g00130	MvSl-1064-A1-R4_A1g00373	690	1012	MvSl-1064-A2-R4_A2g00130	1089	1326
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A2-R4_A2g00131	MvSl-1064-A1-R4_A1g00374	4452	3430	MvSl-1064-A2-R4_A2g00131	5172	4718
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A2-R4_A2g00132	MvSl-1064-A1-R4_A1g00375	254.171	215.806	MvSl-1064-A2-R4_A2g00132	294.434	267.322
MvSl-1064-A1-R4_A1g01392	MvSl-1064-A2-R4_A2g00153	MvSl-1064-A1-R4_A1g01392	683	956	MvSl-1064-A2-R4_A2g00153	789	792
MvSl-1064-A1-R4_A1g01393	MvSl-1064-A2-R4_A2g00154	MvSl-1064-A1-R4_A1g01393	1058	1067	MvSl-1064-A2-R4_A2g00154	1638	1568
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A2-R4_A2g00160	MvSl-1064-A1-R4_A1g00209	603.007	655.753	MvSl-1064-A2-R4_A2g00160	836.66	794.621
MvSl-1064-A1-R4_A1g01415	MvSl-1064-A2-R4_A2g00163	MvSl-1064-A1-R4_A1g01415	1930	1891	MvSl-1064-A2-R4_A2g00163	2561	3215
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A2-R4_A2g00169	MvSl-1064-A1-R4_A1g00290	2464	2912	MvSl-1064-A2-R4_A2g00169	3749	3208
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A2-R4_A2g00176	MvSl-1064-A1-R4_A1g01138	236.396	302.822	MvSl-1064-A2-R4_A2g00176	1653.39	1320.62
MvSl-1064-A1-R4_A1g00772	MvSl-1064-A2-R4_A2g00179	MvSl-1064-A1-R4_A1g00772	211	409	MvSl-1064-A2-R4_A2g00179	204	314
MvSl-1064-A1-R4_A1g01388	MvSl-1064-A2-R4_A2g00186	MvSl-1064-A1-R4_A1g01388	476	959	MvSl-1064-A2-R4_A2g00186	963	1200
MvSl-1064-A1-R4_A1g01252	MvSl-1064-A2-R4_A2g00195	MvSl-1064-A1-R4_A1g01252	1854	1883	MvSl-1064-A2-R4_A2g00195	1986	1975
MvSl-1064-A1-R4_A1g01253	MvSl-1064-A2-R4_A2g00196	MvSl-1064-A1-R4_A1g01253	2214	2636	MvSl-1064-A2-R4_A2g00196	1313	1754
MvSl-1064-A1-R4_A1g00800	MvSl-1064-A2-R4_A2g00203	MvSl-1064-A1-R4_A1g00800	1839.06	2341.94	MvSl-1064-A2-R4_A2g00203	2085.83	2267.46
MvSl-1064-A1-R4_A1g00801	MvSl-1064-A2-R4_A2g00204	MvSl-1064-A1-R4_A1g00801	190	300	MvSl-1064-A2-R4_A2g00204	228	319
MvSl-1064-A1-R4_A1g00589	MvSl-1064-A2-R4_A2g00207	MvSl-1064-A1-R4_A1g00589	5	3	MvSl-1064-A2-R4_A2g00207	2	1
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A2-R4_A2g00208	MvSl-1064-A1-R4_A1g00591	640	390	MvSl-1064-A2-R4_A2g00208	41	20
MvSl-1064-A1-R4_A1g00593	MvSl-1064-A2-R4_A2g00210	MvSl-1064-A1-R4_A1g00593	5339	4696	MvSl-1064-A2-R4_A2g00210	6244	5536
MvSl-1064-A1-R4_A1g00726	MvSl-1064-A2-R4_A2g00239	MvSl-1064-A1-R4_A1g00726	3285	4244	MvSl-1064-A2-R4_A2g00239	3283	3592
MvSl-1064-A1-R4_A1g00120	MvSl-1064-A2-R4_A2g00240	MvSl-1064-A1-R4_A1g00120	234.322	264.441	MvSl-1064-A2-R4_A2g00240	348.234	275.229
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A2-R4_A2g00241	MvSl-1064-A1-R4_A1g00246	1098	1070	MvSl-1064-A2-R4_A2g00241	3526	3450
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A2-R4_A2g00290	MvSl-1064-A1-R4_A1g00165	3795	3795	MvSl-1064-A2-R4_A2g00290	2420	2569
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A2-R4_A2g00295	MvSl-1064-A1-R4_A1g00481	106.634	80.5533	MvSl-1064-A2-R4_A2g00295	299.026	270.943
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A2-R4_A2g00298	MvSl-1064-A1-R4_A1g00718	405	532	MvSl-1064-A2-R4_A2g00298	920	1288
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A2-R4_A2g00300	MvSl-1064-A1-R4_A1g00254	900	735	MvSl-1064-A2-R4_A2g00300	289	203
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A2-R4_A2g00301	MvSl-1064-A1-R4_A1g00359	7526	8886	MvSl-1064-A2-R4_A2g00301	6551	9276
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A2-R4_A2g00303	MvSl-1064-A1-R4_A1g00281	1398	1156	MvSl-1064-A2-R4_A2g00303	1789	1315
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A2-R4_A2g00304	MvSl-1064-A1-R4_A1g00280	4003	4262	MvSl-1064-A2-R4_A2g00304	5249	5828
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A2-R4_A2g00313	MvSl-1064-A1-R4_A1g00168	403.777	266.152	MvSl-1064-A2-R4_A2g00313	177.584	100.851
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A2-R4_A2g00314	MvSl-1064-A1-R4_A1g00648	1286	1277	MvSl-1064-A2-R4_A2g00314	2330	2265
MvSl-1064-A1-R4_A1g00647	MvSl-1064-A2-R4_A2g00315	MvSl-1064-A1-R4_A1g00647	2606	4169	MvSl-1064-A2-R4_A2g00315	3420	3977
MvSl-1064-A1-R4_A1g00778	MvSl-1064-A2-R4_A2g00328	MvSl-1064-A1-R4_A1g00778	561	373	MvSl-1064-A2-R4_A2g00328	694	712
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A2-R4_A2g00329	MvSl-1064-A1-R4_A1g00779	3184	3251	MvSl-1064-A2-R4_A2g00329	5990	5798
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A2-R4_A2g00349	MvSl-1064-A1-R4_A1g01282	75.8926	48.6825	MvSl-1064-A2-R4_A2g00349	118.858	132.824
