gida1	gidmvsv	dnds	dn	ds
MvSl-1064-A1-R4_MC01-2g03024	MvSv-1253-A1-R1_MC01g00251	0.5346	0.0347	0.0649
MvSl-1064-A1-R4_A1g00371	MvSv-1253-A1-R1_MC12g07720	0.2339	0.0387	0.1653
MvSl-1064-A1-R4_MC01-2g03026	MvSv-1253-A1-R1_MC01g00250	0.1565	0.0327	0.2087
MvSl-1064-A1-R4_MC01-2g03027	MvSv-1253-A1-R1_MC01g00249	0.248	0.0524	0.2112
MvSl-1064-A1-R4_MC01-2g03028	MvSv-1253-A1-R1_MC01g00248	0.5185	0.0747	0.144
MvSl-1064-A1-R4_MC01-2g03029	MvSv-1253-A1-R1_MC01g00247	0.0676	0.0184	0.2715
MvSl-1064-A1-R4_MC01-2g03030	MvSv-1253-A1-R1_MC01g00246	0.3038	0.0258	0.0848
MvSl-1064-A1-R4_MC01-2g03036	MvSv-1253-A1-R1_MC01g00244	0.2893	0.0368	0.1272
MvSl-1064-A1-R4_MC01-2g03037	MvSv-1253-A1-R1_MC01g00243	0.0859	0.0107	0.1245
MvSl-1064-A1-R4_MC01-2g03039	MvSv-1253-A1-R1_MC01g00242	0.3376	0.0726	0.2149
MvSl-1064-A1-R4_MC01-2g03040	MvSv-1253-A1-R1_MC09-1g05937	0.2497	0.0415	0.166
MvSl-1064-A1-R4_MC01-2g03041	MvSv-1253-A1-R1_MC09-1g05936	0.0337	0.0042	0.1253
MvSl-1064-A1-R4_A1g00025	MvSv-1253-A1-R1_MC03g02235	0.4902	0.1499	0.3057
MvSl-1064-A1-R4_A1g00372	MvSv-1253-A1-R1_MC12g07721	0.1211	0.0201	0.1657
MvSl-1064-A1-R4_MC01-2g03042	MvSv-1253-A1-R1_MC09-1g05935	0.6254	0.0544	0.087
MvSl-1064-A1-R4_MC01-2g03043	MvSv-1253-A1-R1_MC09-1g05934	0.2719	0.0276	0.1015
MvSl-1064-A1-R4_MC01-2g03046	MvSv-1253-A1-R1_MC09-1g05928	0.277	0.0247	0.0891
MvSl-1064-A1-R4_MC01-2g03047	MvSv-1253-A1-R1_MC09-1g05925	1.0177	0.0985	0.0968
MvSl-1064-A1-R4_MC01-2g03048	MvSv-1253-A1-R1_MC09-1g05924	0.1527	0.0139	0.0908
MvSl-1064-A1-R4_MC01-2g03049	MvSv-1253-A1-R1_MC09-1g05923	0.1745	0.0194	0.1109
