gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g01484	69	75	36	41
MvSl-1064-A1-R4_A1g01485	2010	2723	2489	2226
MvSl-1064-A1-R4_A1g01486	1346	1098	1506	1908
MvSl-1064-A1-R4_A1g01487	11840	18433	13417	10307
MvSl-1064-A1-R4_A1g01488	11623.3	12317.7	19613.7	19597.1
MvSl-1064-A1-R4_A1g01489	1101	1432	1625	1381
MvSl-1064-A1-R4_A1g01490	0	0	0	0
MvSl-1064-A1-R4_A1g01491	1	0	1	0
MvSl-1064-A1-R4_A1g01492	0	0	0	0
MvSl-1064-A1-R4_A1g01493	3.07089	4.13829	1	7
MvSl-1064-A1-R4_A1g01494	1515.91	1334.02	1495.45	1958.76
MvSl-1064-A1-R4_A1g01495	819.152	668.573	790.504	1176.35
MvSl-1064-A1-R4_A1g01496	87	53	101	142
MvSl-1064-A1-R4_A1g01497	692	712	953	919
MvSl-1064-A1-R4_A1g01498	583	616	774	668
MvSl-1064-A1-R4_A1g01499	1.00357	3.00702	0	0
MvSl-1064-A1-R4_A1g01500	4878	4513	4941	5355
MvSl-1064-A1-R4_A1g01501	1298	1628	1807	1590
MvSl-1064-A1-R4_A1g01502	2943	2393	2549	3107
MvSl-1064-A1-R4_A1g01503	151.165	158.601	175.69	95.7299
MvSl-1064-A1-R4_A1g01504	27.7159	18.6935	15.6522	13.0412
MvSl-1064-A1-R4_A1g01505	185.713	171.43	207.943	217.824
MvSl-1064-A1-R4_A1g01506	1	1	4	2
MvSl-1064-A1-R4_A1g01507	0	3	3	0
MvSl-1064-A1-R4_A1g01508	4089	4874	3859	3865
MvSl-1064-A1-R4_A1g01509	1615	1026	1354	1437
MvSl-1064-A1-R4_A1g01510	22.277	18.6744	16.336	11.9208
MvSl-1064-A1-R4_A1g01511	14.5752	7.94169	9.70508	28.9346
MvSl-1064-A1-R4_A1g01512	38.0521	15.1771	42.1344	72.9095
MvSl-1064-A1-R4_A1g00003	968.523	745.11	351.427	725.899
