gene	youngold		dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC02g04188	Auto	Auto	0.00194	0.00196	0.0238	0.01391	0.0815123	2446715	2448196	8.012531553	-0.728760914	0.179993883	7.937046235	7.166645584	8.026790946	8.582306428	NON	A1
MvSl-1064-A1-R4_MC15g12083	Auto	Auto	0.0061	0.00356	0.00992	0.00713	0.614913	176270	178484	7.625222319	0.826498062	0.182053491	7.344256341	8.41992012	7.472241704	6.745182396	NON	A1
MvSl-1064-A1-R4_MC08g08496	Auto	Auto	0.01078	0.0054	0.01629	0.00944	0.661752	652131	655480	6.199196579	-0.613443821	0.182277515	6.037849642	5.657610353	6.099984713	6.768767865	NON	A1
MvSl-1064-A1-R4_MC01-1g02316	Auto	Auto	0.00242	0.00242	0.01613	0.01145	0.15003	999649	999924	6.649195697	0.474086698	0.184517824	6.768144918	6.959316859	6.49892992	6.279289237	NON	A1
MvSl-1064-A1-R4_MC13g11490	Auto	Auto	0.00001	0	0.00915	0.00038	0.00109288	501327	502006	6.477342962	0.498838712	0.184517824	6.530609896	6.861173794	6.298322898	6.109694385	NON	A1
MvSl-1064-A1-R4_A1g00307	Black	OldStrata	0.00696	0.00349	0.01511	0.00761	0.460619	2058215	2058407	6.549442752	0.482963396	0.191787624	6.661435979	6.872554098	6.39318995	6.175424307	NON	A1
MvSl-1064-A1-R4_MC05-2g06441	Auto	Auto	0.01429	0.00568	0.01149	0.0074	1.24368	284586	285824	2.932201537	-0.82839867	0.192837871	2.511081357	2.409826362	2.997211761	3.514926799	NON	A1
MvSl-1064-A1-R4_MC12g11089	Auto	Auto	0.00001	0	0.01103	0	0.00090661	894588	894941	5.586432095	0.514306888	0.197454361	5.726859079	5.909173935	5.377651239	5.234069758	NON	A1
MvSl-1064-A1-R4_MC01-1g01905	Auto	Auto	0.00474	0.00212	0.00662	0.00383	0.716001	266776	267597	6.690594771	0.460355005	0.203119526	6.791052676	7.005993213	6.485854947	6.398057612	NON	A1
MvSl-1064-A1-R4_MC01-1g02141	Auto	Auto	0.00244	0.00174	0.01208	0.00704	0.201985	576608	578420	6.674965053	0.455533759	0.20660195	6.793117275	6.971128285	6.490226451	6.36669577	NON	A1
