gida1	a1GC0	a1GC3	gencomp	youngold	DE	haploid
MvSl-1064-A1-R4_MC05-3g06520	58.15	61.87	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00080	54.82	57.24	bPAR	bPAR	Up	A1
MvSl-1064-A1-R4_MC07g08097	58.96	71.33	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC06g07136	56.95	64.36	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g04844	57.72	62.08	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g04845	55.22	55.22	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00646	57.68	62.55	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g00021	53.81	47.14	bPAR	bPAR	Up	A1
MvSl-1064-A1-R4_MC03g04929	62.5	75.15	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC11g10688	58.91	62.79	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC08g08665	55.56	58.33	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g01174	60.03	69.78	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC12g11286	60.05	67.75	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00853	57.58	64.38	Purple	OldStrata	Up	A1
MvSl-1064-A1-R4_MC01-1g02161	57.67	69.23	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00079	54.4	62.49	bPAR	bPAR	Up	A1
MvSl-1064-A1-R4_MC09-2g09232	57.87	71.49	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-1g02176	53.33	53	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g05082	55.56	64.37	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g05235	54.4	62.4	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC15g12082	59.37	61.43	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-1g09785	53.79	59.55	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC12g10849	52.81	53.47	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC11g10618	57.13	60	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-1g02837	56.08	51.76	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-1g09814	55.78	59.69	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC14g11845	53.13	60.7	Auto	Auto	Up	A1
