target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A1-R4_A1g00290	2474	2918	6.36671	7.43215
MvSl-1064-A1-R4_A1g00291	408.825	251.811	0.556415	0.339333
MvSl-1064-A1-R4_A1g00292	2554	3172	10.5136	12.9167
MvSl-1064-A1-R4_A1g00293	400.366	424.723	11.1987	11.5297
MvSl-1064-A1-R4_A1g00294	634.094	451.384	3.24765	2.28615
MvSl-1064-A1-R4_A1g00295	203	273	1.7808	2.36535
MvSl-1064-A1-R4_A1g00296	213.888	227.481	1.83402	1.92666
MvSl-1064-A1-R4_A1g00297	143.881	112.539	4.30975	3.25387
MvSl-1064-A1-R4_A1g00298	227.595	194.23	8.93744	7.24754
MvSl-1064-A1-R4_A1g00299	81.0914	83.2397	5.39406	5.16884
MvSl-1064-A1-R4_A1g00300	642.232	602.871	3.23586	3.00384
MvSl-1064-A1-R4_A1g00301	24.8306	25.465	0.716648	0.71095
MvSl-1064-A1-R4_A1g00302	3.79864	8.04871	0.0154172	0.0323148
MvSl-1064-A1-R4_A1g00303	0	0	0	0
MvSl-1064-A1-R4_A1g00304	0	0	0	0
MvSl-1064-A1-R4_A1g00305	347.066	348.835	2.66718	2.64869
MvSl-1064-A1-R4_A1g00306	35652	25160	295.122	205.737
MvSl-1064-A1-R4_A1g00307	1913	2289	26.1327	30.8166
MvSl-1064-A1-R4_A1g00308	382.597	286.671	6.40529	4.70725
MvSl-1064-A1-R4_A1g00309	0	6.64663	0	0.394241
MvSl-1064-A1-R4_A1g00310	1466.25	1322.99	4.93995	4.4103
MvSl-1064-A1-R4_A1g00311	6307	5511	10.6912	9.24856
MvSl-1064-A1-R4_A1g00312	10019	14836	294.742	421.665
MvSl-1064-A1-R4_A1g00313	10970.2	17917.4	44.7845	72.3573
MvSl-1064-A1-R4_A1g00314	44.5148	48.4155	0.529931	0.568667
MvSl-1064-A1-R4_A1g00315	25.7715	19.9165	3.06421	2.21812
MvSl-1064-A1-R4_A1g00316	212.787	168.293	1.60432	1.25373
MvSl-1064-A1-R4_A1g00317	247.647	192.255	21.9418	15.7949
MvSl-1064-A1-R4_A1g00318	6.28979	33.3949	1.43416	7.56771
MvSl-1064-A1-R4_A1g00319	304.717	177.347	1.02087	0.587893
MvSl-1064-A1-R4_A1g00320	89	75.3806	1.18544	0.989528
MvSl-1064-A1-R4_A1g00321	416.104	489.855	7.71837	8.8885
MvSl-1064-A1-R4_A1g00322	113.247	125.579	0.614226	0.673471
MvSl-1064-A1-R4_A1g00323	6.21429	0	1.25959	0
MvSl-1064-A1-R4_A1g00324	3.43541	4.28431	0.417054	0.487141
MvSl-1064-A1-R4_A1g00325	0	0	0	0
MvSl-1064-A1-R4_A1g00326	0	0	0	0
MvSl-1064-A1-R4_A1g00327	357	357	4.53371	4.47105
MvSl-1064-A1-R4_A1g00328	115	182	3.25718	4.99724
MvSl-1064-A1-R4_A1g00329	55	70	1.90323	2.31909
MvSl-1064-A1-R4_A1g00330	296.023	299.726	5.64747	5.59094
MvSl-1064-A1-R4_A1g00331	404.801	205.968	0.904115	0.455349
MvSl-1064-A1-R4_A1g00332	13	15	0.204077	0.231417
MvSl-1064-A1-R4_A1g00333	3.12783	3.16936	0.0216156	0.0216461
MvSl-1064-A1-R4_A1g00334	327.376	274.525	129.706	108.518
MvSl-1064-A1-R4_A1g00335	344.536	221.125	0.697308	0.443019
MvSl-1064-A1-R4_A1g00336	17	8	0.26349	0.12192
MvSl-1064-A1-R4_A1g00337	0	1	0	0.0875649
MvSl-1064-A1-R4_A1g00338	20	18	0.118961	0.105845
MvSl-1064-A1-R4_A1g00339	366	403	3.69484	4.01644
MvSl-1064-A1-R4_A1g00340	2410.91	4041.22	79.8028	128.329
MvSl-1064-A1-R4_A1g00341	1879.18	3279.66	97.938	160.748
MvSl-1064-A1-R4_A1g00342	1108	1368.86	146.758	171.839
MvSl-1064-A1-R4_A1g00343	325.472	430.836	3.16727	4.13959
MvSl-1064-A1-R4_A1g00344	0	4	0	0.0511523
MvSl-1064-A1-R4_A1g00345	28	16.4049	3.20514	1.76301
MvSl-1064-A1-R4_A1g00346	850.301	1091.24	7.38183	9.35699
MvSl-1064-A1-R4_A1g00347	24.9608	22.63	0.0393174	0.0352914
MvSl-1064-A1-R4_A1g00348	2415.22	2031.45	15.9155	13.2312
MvSl-1064-A1-R4_A1g00349	20314	15331	120.145	89.6416
MvSl-1064-A1-R4_A1g00350	593	689	2.0223	2.32489
MvSl-1064-A1-R4_A1g00351	6610	6727	13.1522	13.25
MvSl-1064-A1-R4_A1g00352	778	951	11.2045	13.4857
MvSl-1064-A1-R4_A1g00353	1940.05	2831.69	6.38963	9.22817
MvSl-1064-A1-R4_A1g00354	26.7248	48.3202	10.4124	18.3848
MvSl-1064-A1-R4_A1g00355	9439.36	18802.6	98.5003	193.68
MvSl-1064-A1-R4_A1g00356	90.8272	125.457	28.812	40.2582
MvSl-1064-A1-R4_A1g00357	1874.23	2696.72	3.50507	4.99258
MvSl-1064-A1-R4_A1g00358	9653.28	7264.26	12.6229	9.40533
MvSl-1064-A1-R4_A1g00359	7531	8885	37.2054	43.4091
MvSl-1064-A1-R4_A1g00360	543.357	521.895	3.20909	3.04726
MvSl-1064-A1-R4_A1g00361	3387.11	3639.91	6.28658	6.68796
MvSl-1064-A1-R4_A1g00362	33.869	37.4396	1.02727	1.09465
MvSl-1064-A1-R4_A1g00363	2617.72	4620.06	33.1932	57.7741
MvSl-1064-A1-R4_A1g00364	2309.97	4567.49	30.9616	60.334
MvSl-1064-A1-R4_A1g00365	6.67388	6.78713	1.90048	1.94293
MvSl-1064-A1-R4_A1g00366	1215.6	1347.2	5.25475	5.76038
MvSl-1064-A1-R4_A1g00367	342	371	1.78773	1.91769
MvSl-1064-A1-R4_A1g00368	1241	1611	9.20727	11.8104
MvSl-1064-A1-R4_A1g00369	2374	2868	9.94877	11.889
MvSl-1064-A1-R4_A1g00370	2394	2572	9.87435	10.4941
MvSl-1064-A1-R4_A1g00371	3179.27	3512.99	7.30556	7.99018
MvSl-1064-A1-R4_A1g00372	2958	3262	9.17874	10.0163
MvSl-1064-A1-R4_A1g00373	690	1011	5.59007	8.09151
MvSl-1064-A1-R4_A1g00374	4438	3424	17.9773	13.7205
MvSl-1064-A1-R4_A1g00375	509.637	402.446	23.2176	17.3257
MvSl-1064-A1-R4_A1g00376	27.14	26.2486	0.23537	0.22484
MvSl-1064-A1-R4_A1g00377	36.207	64.9216	0.384047	0.679718
MvSl-1064-A1-R4_A1g00378	16	17	2.19786	2.21092
