target_id	est_counts	est_counts	mean_oldcounts	tpm	tpm	target_id	est_counts	est_counts	mean_newcounts	tpm	tpm	ratio_a2_oldnew
MvSl-1064-A2-R4_A2g00260	1.02665	0	0.513325	0	0.0739148	MvSl-1064-A2-R4_A2g00260	0	0	0	0	0	5133250
MvSl-1064-A2-R4_MC08-2g09094	0	1.02102	0.51051	0.704883	0	MvSl-1064-A2-R4_MC08-2g09094	0	0	0	0	0	5105100
MvSl-1064-A2-R4_MC16g12421	0	1.00964	0.50482	0.00435147	0	MvSl-1064-A2-R4_MC16g12421	0	0	0	0	0	5048200
MvSl-1064-A2-R4_MC01g03162	1.0011	0	0.50055	0	0.051105	MvSl-1064-A2-R4_MC01g03162	0	0	0	0	0	5005500
MvSl-1064-A2-R4_A2g00658	1	0	0.5	0	0.094622	MvSl-1064-A2-R4_A2g00658	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC01g02028	0	1	0.5	0.137897	0	MvSl-1064-A2-R4_MC01g02028	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC01g02934	1	0	0.5	0	0.0461338	MvSl-1064-A2-R4_MC01g02934	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC03g05086	1	0	0.5	0	0.0978523	MvSl-1064-A2-R4_MC03g05086	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC04-1g05579	0	1	0.5	0.0392327	0	MvSl-1064-A2-R4_MC04-1g05579	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC04-1g05626	1	0	0.5	0	0.264336	MvSl-1064-A2-R4_MC04-1g05626	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC04-1g06092	0	1	0.5	0.0741918	0	MvSl-1064-A2-R4_MC04-1g06092	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC05g06697	1	0	0.5	0	0.12685	MvSl-1064-A2-R4_MC05g06697	0	0	0	0	0	5000000
MvSl-1064-A2-R4_MC15g12409	0.992559	1.46E-05	0.4962868	1.10E-07	0.006911	MvSl-1064-A2-R4_MC15g12409	0	4.78E-08	2.3886E-08	2.39E-10	0	4005997.452
MvSl-1064-A2-R4_A2g00098	0	0.5	0.25	0.0125312	0	MvSl-1064-A2-R4_A2g00098	0	0	0	0	0	2500000
MvSl-1064-A2-R4_A2g00109	0	0.5	0.25	0.0125312	0	MvSl-1064-A2-R4_A2g00109	0	0	0	0	0	2500000
MvSl-1064-A2-R4_A2g00085	0.4	0	0.2	0	0.206096	MvSl-1064-A2-R4_A2g00085	0	0	0	0	0	2000000
MvSl-1064-A2-R4_A2g00104	0.4	0	0.2	0	0.206096	MvSl-1064-A2-R4_A2g00104	0	0	0	0	0	2000000
