gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2	gida2	genea20k	a2up5k	a2upk10	a2upk15	a2upk20	a2down5k	a2down10k	a2down15k	a2down20k	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff
MvSl-1064-A1-R4_MC05-1g06150	Auto	Auto	0	0	0	0	0	0	0	0	0	6.4241691	-0.500063968	0.500063968	0.007579427	0.093806602	6.175340754	6.130797811	6.628823486	6.676296813	NON	NON	MvSl-1064-A2-R4_MC05g06422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC06g06913	Auto	Auto	0	1	0	2	1	0	0	0	0	2.066010473	1.422341456	1.422341456	0.007720471	0.095379054	3.167700048	1.595589162	0.619046564	1.616865351	NON	NON	MvSl-1064-A2-R4_MC06-1g07176	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC13g11356	Auto	Auto	0	0	0	0	1	0	1	0	0	0.229153082	-1.42490027	1.42490027	0.007862164	0.096849625	-1.379573498	-0.005737075	0.761554	0.760247891	NON	NON	MvSl-1064-A2-R4_MC13g11617	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04353	Auto	Auto	0	0	3	1	4	0	0	0	0	6.783275716	-0.665244456	0.665244456	0.007891043	0.097065508	6.112673424	6.662017312	7.368917445	6.713019607	NON	NON	MvSl-1064-A2-R4_MC03g04631	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC04-1g05989	Auto	Auto	0	1	1	0	3	0	0	0	0	5.509002567	-0.561759987	0.561759987	0.008019185	0.098500014	5.283575015	5.116307741	5.743397536	5.782215983	NON	NON	MvSl-1064-A2-R4_MC04-2g06271	0	4	1	0	3	0	0	0	0	0	-3	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g05103	Auto	Auto	0	0	0	0	0	0	0	8	0	5.088287341	-0.71505769	0.71505769	0.008123689	0.09943461	4.884860353	4.463265721	5.083443587	5.663715593	NON	NON	MvSl-1064-A2-R4_MC03g05380	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04411	Auto	Auto	0	0	0	0	0	0	0	0	0	6.24924182	-0.558636293	0.558636293	0.008155342	0.099600027	5.812536633	6.064290424	6.677580803	6.301461378	NON	NON	MvSl-1064-A2-R4_MC03g04689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-1g09640	Auto	Auto	0	0	0	0	0	0	0	0	0	7.918010086	-0.610575949	0.610575949	0.008321787	0.101487817	7.493604365	7.663312887	8.392180274	7.957755938	NON	NON	MvSl-1064-A2-R4_MC10g09907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04695	Auto	Auto	0	0	0	0	0	0	0	0	0	2.163621844	0.945783713	0.945783713	0.008416505	0.102496725	2.456463497	2.627420108	1.544886476	1.692371284	NON	NON	MvSl-1064-A2-R4_MC03g04973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC11g10569	Auto	Auto	0	0	0	0	1	2	0	1	0	0.575860387	-1.20821926	1.20821926	0.009104402	0.110402172	-0.145252181	-0.005737075	1.120141884	0.977053557	NON	NON	MvSl-1064-A2-R4_MC11g10831	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC11g10528	Auto	Auto	0	0	0	0	0	0	0	0	0	6.330534853	-0.486684507	0.486684507	0.009256165	0.112083504	6.047159869	6.087468555	6.566273533	6.540716356	NON	NON	MvSl-1064-A2-R4_MC11g10790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC02g04119	Auto	Auto	0	0	3	0	0	0	0	0	0	5.989562671	0.51453827	0.51453827	0.009307006	0.112539732	6.234493617	6.211904499	5.787102009	5.627303323	NON	NON	MvSl-1064-A2-R4_MC02g04397	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-2g09998	Auto	Auto	0	0	0	3	2	0	0	0	0	8.02010053	-0.58105289	0.58105289	0.009360196	0.112863631	7.590182561	7.80349246	8.372879397	8.184157713	NON	NON	MvSl-1064-A2-R4_MC10g10262	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC11g10176	Auto	Auto	0	1	0	0	2	3	1	1	0	3.92715405	0.847642738	0.847642738	0.009427118	0.11335082	3.950572065	4.555770527	3.714024504	3.106884392	NON	NON	MvSl-1064-A2-R4_MC11g10435	0	1	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC07g07998	Auto	Auto	0	0	0	0	0	0	0	0	0	5.315632205	-0.740102063	0.740102063	0.009504683	0.114122943	4.692588384	5.082600155	5.985309193	5.18193248	NON	NON	MvSl-1064-A2-R4_MC07g08263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01823	Auto	Auto	0	0	0	0	0	0	0	1	0	7.292666451	0.542914692	0.542914692	0.009595475	0.114890361	7.699518803	7.356989013	6.920386134	7.067537452	NON	NON	MvSl-1064-A2-R4_MC01g02104	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC09-2g09514	Auto	Auto	0	0	0	0	0	0	0	0	0	6.68753629	-0.574931789	0.574931789	0.009640512	0.115107176	6.253386375	6.482083842	7.203444597	6.633834581	NON	NON	MvSl-1064-A2-R4_MC09g09788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC07g07824	Auto	Auto	0	0	0	0	0	0	0	0	0	7.037923151	-0.51562281	0.51562281	0.00975316	0.116127807	6.683067382	6.828571613	7.430667893	7.095621882	NON	NON	MvSl-1064-A2-R4_MC07g08089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03317	Auto	Auto	0	0	0	0	0	1	1	0	0	5.001179193	0.721996936	0.721996936	0.00978127	0.116300529	5.481215454	5.12801897	4.204624864	4.903461399	NON	NON	MvSl-1064-A2-R4_MC02g03597	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC12g11081	Auto	Auto	0	0	0	0	0	0	0	0	0	7.193685577	-0.60758465	0.60758465	0.009910921	0.117349096	6.670404082	7.025088786	7.721515723	7.154658471	NON	NON	MvSl-1064-A2-R4_MC12g11344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC09-2g09328	Auto	Auto	0	0	0	0	0	2	0	0	0	0.083069972	1.506051267	1.506051267	0.010085609	0.118964231	1.092917539	-0.226557056	-0.788054896	-0.74869004	NON	NON	MvSl-1064-A2-R4_MC09g09602	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC04-1g05955	Auto	Auto	0	0	1	0	0	0	0	0	0	6.581214076	0.659240055	0.659240055	0.010242971	0.120450011	6.632420734	7.078876497	6.539320159	5.793690659	NON	NON	MvSl-1064-A2-R4_MC04-1g06231	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC14g11907	Auto	Auto	0	0	0	0	0	0	0	0	0	4.933412854	-0.661118284	0.661118284	0.010240412	0.120450011	4.42063074	4.701360594	4.970582914	5.444663321	NON	NON	MvSl-1064-A2-R4_MC14g12168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04462	Auto	Auto	0	0	0	0	0	0	0	0	0	3.014907159	-0.842839184	0.842839184	0.010303448	0.120994754	2.493258973	2.594032769	3.140399094	3.580874647	NON	NON	MvSl-1064-A2-R4_MC03g04740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC13g11544	Auto	Auto	0	0	0	0	0	0	1	1	2	5.093023553	0.581669968	0.581669968	0.010341894	0.121279631	5.375137422	5.33080059	4.821266377	4.72318365	NON	NON	MvSl-1064-A2-R4_MC13g11805	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC15g12057	Auto	Auto	0	0	0	0	2	0	0	0	0	3.64513459	-0.750244833	0.750244833	0.010426911	0.121942084	3.113582545	3.334873816	4.051186538	3.889717373	NON	NON	MvSl-1064-A2-R4_MC15g12306	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC11g10301	Auto	Auto	0	0	4	0	0	0	0	0	0	6.139761	-0.613378531	0.613378531	0.010473266	0.122149998	6.106749125	5.414469147	6.342652734	6.482525974	NON	NON	MvSl-1064-A2-R4_MC11g10562	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC13g11299	Auto	Auto	0	0	0	5	0	0	0	4	1	4.434855951	0.693321483	0.693321483	0.010549898	0.122708945	4.880237304	4.578710151	3.83716951	4.230940892	NON	NON	MvSl-1064-A2-R4_MC13g11560	0	0	0	5	0	0	0	4	1	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC09-2g09091	Auto	Auto	0	0	0	0	0	0	0	0	2	6.672827035	0.549111498	0.549111498	0.01071833	0.124146305	7.096257	6.721202626	6.186117264	6.537307409	NON	NON	MvSl-1064-A2-R4_MC09g09366	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC04-1g05673	Auto	Auto	0	0	0	0	0	0	0	0	0	6.881988319	0.611594076	0.611594076	0.010898698	0.125379569	7.476094476	6.741674548	6.447413705	6.634632384	NON	NON	MvSl-1064-A2-R4_MC04-1g05949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC05-3g06536	Auto	Auto	1	1	0	0	0	2	1	0	0	1.697035784	1.045585357	1.045585357	0.010882858	0.125379569	2.242600733	1.952458079	0.715598022	1.393758781	NON	NON	MvSl-1064-A2-R4_MC05g06799	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC04-1g05745	Auto	Auto	0	6	2	0	0	0	0	0	0	6.201940024	0.533641809	0.533641809	0.011115018	0.127009861	6.518782647	6.364078314	5.687952697	6.103615709	NON	NON	MvSl-1064-A2-R4_MC04-1g06021	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC14g11951	Auto	Auto	0	0	0	0	0	0	0	0	0	4.587727478	-0.634271483	0.634271483	0.011127662	0.127009861	4.251951609	4.225972427	4.75181192	4.980790029	NON	NON	MvSl-1064-A2-R4_MC14g12212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
