genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC01-1g01918	0.0027	0.00135	0.00559	0.0028	0.482997	aAutosome	aAutosome	NON	6.61092	A1
MvSl-1064-A1-R4_MC01-1g01921	0.00695	0.00495	0.01539	0.01101	0.451589	aAutosome	aAutosome	NON	6.56467	A1
MvSl-1064-A1-R4_MC01-1g01923	0.00001	0	0.0116	0	0.000862062	aAutosome	aAutosome	NON	6.93216	A1
MvSl-1064-A1-R4_MC01-1g01924	0.00287	0.00205	0.01317	0.00768	0.217918	aAutosome	aAutosome	NON	6.54345	A1
MvSl-1064-A1-R4_MC01-1g01925	0.0035	0.00157	0.00829	0.00372	0.42219	aAutosome	aAutosome	NON	7.33215	A1
MvSl-1064-A1-R4_MC01-1g01926	0.01001	0.00505	0.01699	0.00994	0.589167	aAutosome	aAutosome	NON	4.15707	A1
MvSl-1064-A1-R4_MC01-1g01932	0.00265	0.00153	0.01131	0.0043	0.234304	aAutosome	aAutosome	NON	6.1816	A1
MvSl-1064-A1-R4_MC01-1g01934	0.00321	0.00144	0.01086	0.00446	0.295577	aAutosome	aAutosome	NON	6.1692	A1
MvSl-1064-A1-R4_MC01-1g01935	0.00442	0.00256	0.00705	0.00501	0.626941	aAutosome	aAutosome	NON	6.88102	A1
MvSl-1064-A1-R4_MC01-1g01936	0	0	0.00001	0	0	aAutosome	aAutosome	NON	5.84287	A1
MvSl-1064-A1-R4_MC01-1g01939	0.00768	0.0054	0.00743	0.00731	1.03363	aAutosome	aAutosome	NON	5.6479	A1
MvSl-1064-A1-R4_MC01-1g01940	0.00673	0.00392	0.02294	0.01161	0.293373	aAutosome	aAutosome	NON	5.78387	A1
MvSl-1064-A1-R4_MC01-1g01943	0.00417	0.00296	0.00004	0.00017	103.99	aAutosome	aAutosome	NON	6.67574	A1
MvSl-1064-A1-R4_MC01-1g01948	0	0	0.00001	0	0	aAutosome	aAutosome	NON	6.35822	A1
MvSl-1064-A1-R4_MC01-1g01951	0.00105	0.00046	0.01093	0.00442	0.096065	aAutosome	aAutosome	NON	6.09933	A1
MvSl-1064-A1-R4_MC01-1g01953	0.00605	0.00428	0.0074	0.00739	0.817557	aAutosome	aAutosome	NON	6.05821	A1
MvSl-1064-A1-R4_MC01-1g01954	0.01183	0.00595	0.01352	0.00962	0.874994	aAutosome	aAutosome	NON	6.21718	A1
MvSl-1064-A1-R4_MC01-1g01956	0.00633	0.00448	0.00006	0	105.324	aAutosome	aAutosome	NON	2.79834	A1
MvSl-1064-A1-R4_MC01-1g01965	0.01052	0.00608	0.00804	0.00798	1.30844	aAutosome	aAutosome	NON	3.54821	A1
MvSl-1064-A1-R4_MC01-1g01966	0.00204	0.00118	0.00888	0.00364	0.229727	aAutosome	aAutosome	NON	5.42517	A1
MvSl-1064-A1-R4_MC01-1g01967	0.00128	0.00127	0.00313	0.0031	0.408933	aAutosome	aAutosome	NON	5.38809	A1
MvSl-1064-A1-R4_MC01-1g01972	0.00485	0.00185	0.01502	0.00538	0.322901	aAutosome	aAutosome	NON	7.49046	A1
MvSl-1064-A1-R4_MC01-1g01974	0.0047	0.00239	0.01053	0.00536	0.44634	aAutosome	aAutosome	NON	7.13759	A1
MvSl-1064-A1-R4_MC01-1g01985	0.0137	0.00436	0.02304	0.00879	0.594615	aAutosome	aAutosome	NON	6.49654	A1
