gida1	a1prot	a1cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00401	331	996	Red	ColorStrata	4	0.012084592	0.109929942	93.5	374	1.129909366	1.06297195	NON	NON	A1
MvSl-1064-A1-R4_A1g00400	787	2364	Red	ColorStrata	7	0.008894536	0.094310849	91.2857	639	0.811944091	0.901079404	Down	DE	A1
MvSl-1064-A1-R4_A1g00399	160	483	Red	ColorStrata	2	0.0125	0.111803399	74.5	149	0.93125	0.965012953	NON	NON	A1
MvSl-1064-A1-R4_A1g00398	123	372	Red	ColorStrata	4	0.032520325	0.180333927	183.75	735	5.975609756	2.444506035	NON	NON	A1
MvSl-1064-A1-R4_A1g00397	124	375	Red	ColorStrata	3	0.024193548	0.155542754	121	363	2.927419355	1.710970296	NON	NON	A1
MvSl-1064-A1-R4_A1g00396	293	882	Red	ColorStrata	5	0.017064846	0.130632486	83.6	418	1.42662116	1.194412475	NON	NON	A1
MvSl-1064-A1-R4_A1g00395	1363	4092	Red	ColorStrata	9	0.006603081	0.081259347	73.2222	659	0.483492296	0.695336103	NON	NON	A1
MvSl-1064-A1-R4_A1g00394	114	345	Red	ColorStrata	3	0.026315789	0.162221421	108.333	325	2.850877193	1.688454084	NON	NON	A1
MvSl-1064-A1-R4_A1g00391	588	1767	Red	ColorStrata	6	0.010204082	0.101015254	104.8	524	0.891156463	0.944010838	NON	NON	A1
MvSl-1064-A1-R4_A1g00390	377	1134	Red	ColorStrata	1	0.00265252	0.05150262	280	283	0.75066313	0.866408177	NON	NON	A1
MvSl-1064-A1-R4_A1g00389	385	1158	Red	ColorStrata	3	0.007792208	0.088273483	191	1146	2.976623377	1.72528936	NON	NON	A1
MvSl-1064-A1-R4_A1g00383	162	489	Black	OldStrata	2	0.012345679	0.111111111	73	146	0.901234568	0.949333749	Up	DE	A1
MvSl-1064-A1-R4_A1g00380	72	219	Red	ColorStrata	2	0.027777778	0.166666667	210.5	421	5.847222222	2.418103021	NON	NON	A1
MvSl-1064-A1-R4_A1g01189	347	1044	Black	OldStrata	2	0.005763689	0.075918962	81	158	0.455331412	0.674782492	NON	NON	A1
MvSl-1064-A1-R4_A1g01375	390	1173	Black	OldStrata	2	0.005128205	0.071611487	71	142	0.364102564	0.603409118	Up	DE	A1
MvSl-1064-A1-R4_A1g01376	840	2523	Black	OldStrata	11	0.013095238	0.114434427	71.8182	790	0.94047619	0.969781517	Up	DE	A1
MvSl-1064-A1-R4_A1g01378	156	471	Black	OldStrata	2	0.012820513	0.113227703	110	110	0.705128205	0.839719123	NON	NON	A1
MvSl-1064-A1-R4_A1g00624	256	771	Purple	OldStrata	7	0.02734375	0.165359457	107.286	751	2.93359375	1.712773701	Down	DE	A1
MvSl-1064-A1-R4_A1g00185	926	2781	Purple	OldStrata	13	0.014038877	0.118485767	82.2308	1069	1.154427646	1.074442947	NON	NON	A1
MvSl-1064-A1-R4_A1g00186	450	1353	Purple	OldStrata	4	0.008888889	0.094280904	124.25	497	1.104444444	1.050925518	NON	NON	A1
MvSl-1064-A1-R4_A1g01383	678	2037	Black	OldStrata	7	0.010324484	0.101609467	79.4286	556	0.820058997	0.905571089	Up	DE	A1
MvSl-1064-A1-R4_A1g00230	229	690	Purple	OldStrata	4	0.017467249	0.13216372	119	476	2.07860262	1.441735974	Up	DE	A1
MvSl-1064-A1-R4_A1g00568	131	396	Black	OldStrata	1	0.007633588	0.087370406	231	231	1.763358779	1.3279152	NON	NON	A1
MvSl-1064-A1-R4_A1g00575	991	2976	Black	OldStrata	7	0.007063572	0.08404506	117.714	814	0.821392533	0.906307085	NON	NON	A1
MvSl-1064-A1-R4_A1g00576	161	486	Black	OldStrata	1	0.00621118	0.078811041	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00757	297	894	Black	OldStrata	1	0.003367003	0.058025885	99	49	0.164983165	0.406181197	NON	NON	A1
MvSl-1064-A1-R4_A1g00756	71	216	Black	OldStrata	1	0.014084507	0.118678166	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00752	410	1233	Black	OldStrata	2	0.004878049	0.06984303	64	128	0.312195122	0.558744237	Down	DE	A1
MvSl-1064-A1-R4_A1g00751	972	2919	Black	OldStrata	10	0.010288066	0.101430103	72.7	727	0.747942387	0.864836624	NON	NON	A1
MvSl-1064-A1-R4_A1g00750	728	2187	Black	OldStrata	4	0.005494505	0.074124932	79.5	318	0.436813187	0.660918442	NON	NON	A1
MvSl-1064-A1-R4_A1g00594	467	1404	Black	OldStrata	3	0.006423983	0.080149753	102.333	307	0.65738758	0.810794413	Down	DE	A1
MvSl-1064-A1-R4_A1g00749	1116	3351	Black	OldStrata	2	0.001792115	0.042333376	81.5	163	0.146057348	0.382174499	NON	NON	A1
MvSl-1064-A1-R4_A1g00745	164	495	Black	OldStrata	3	0.018292683	0.135250445	74.3333	223	1.359756098	1.166085802	Up	DE	A1
MvSl-1064-A1-R4_A1g01135	265	798	Black	OldStrata	3	0.011320755	0.106399035	80.6667	242	0.913207547	0.955618934	Up	DE	A1
MvSl-1064-A1-R4_A1g00245	94	285	Black	OldStrata	1	0.010638298	0.103142125	72	72	0.765957447	0.875189949	NON	NON	A1
MvSl-1064-A1-R4_A1g00635	628	1887	Black	OldStrata	10	0.015923567	0.126188616	66.5	665	1.058917197	1.029037024	Down	DE	A1
MvSl-1064-A1-R4_A1g00241	346	1041	Black	OldStrata	1	0.002890173	0.053760333	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00242	191	576	Black	OldStrata	4	0.020942408	0.144714921	84.25	337	1.764397906	1.328306405	Up	DE	A1
MvSl-1064-A1-R4_A1g00270	380	1143	Black	OldStrata	3	0.007894737	0.088852332	208	624	1.642105263	1.281446551	Down	DE	A1
MvSl-1064-A1-R4_A1g00269	1021	3066	Black	OldStrata	5	0.00489716	0.069979709	116.6	583	0.571008815	0.755651252	Down	DE	A1
MvSl-1064-A1-R4_A1g00763	1235	3708	Black	OldStrata	5	0.004048583	0.063628476	67.4	337	0.272874494	0.522373902	Down	DE	A1
MvSl-1064-A1-R4_A1g00211	827	2484	Black	OldStrata	8	0.009673519	0.098354048	76.5	612	0.740024184	0.860246583	NON	NON	A1
MvSl-1064-A1-R4_A1g00210	252	759	Black	OldStrata	4	0.015873016	0.125988158	105.25	420	1.666666667	1.290994449	NON	NON	A1
MvSl-1064-A1-R4_A1g01418	904	2715	Black	OldStrata	9	0.009955752	0.099778516	84.5556	761	0.841814159	0.91750431	Up	DE	A1
MvSl-1064-A1-R4_A1g00292	547	1644	Black	OldStrata	8	0.014625229	0.120934811	90.125	721	1.31809872	1.148084805	Down	DE	A1
MvSl-1064-A1-R4_A1g00406	179	540	Red	ColorStrata	1	0.005586592	0.074743509	83	83	0.463687151	0.680945777	NON	NON	A1
MvSl-1064-A1-R4_A1g00441	342	1029	Purple	OldStrata	7	0.020467836	0.143065846	117.857	825	2.412280702	1.55315186	NON	NON	A1
MvSl-1064-A1-R4_A1g00144	157	474	Black	OldStrata	3	0.01910828	0.138232703	114.333	343	2.184713376	1.478077595	NON	NON	A1
MvSl-1064-A1-R4_A1g01369	631	1896	Black	OldStrata	5	0.00792393	0.089016461	93.1667	515	0.816164818	0.903418407	NON	NON	A1
MvSl-1064-A1-R4_A1g01368	1872	5619	Black	OldStrata	7	0.003739316	0.061149949	64.375	515	0.275106838	0.52450628	NON	NON	A1
MvSl-1064-A1-R4_A1g01367	542	1629	Black	OldStrata	3	0.005535055	0.074397953	65	195	0.359778598	0.59981547	NON	NON	A1
MvSl-1064-A1-R4_A1g01366	758	2277	Black	OldStrata	1	0.001319261	0.036321636	138	138	0.182058047	0.426682607	NON	NON	A1
MvSl-1064-A1-R4_A1g00194	478	1437	Black	OldStrata	8	0.016736402	0.129369245	143.5	1148	2.40167364	1.549733409	NON	NON	A1
MvSl-1064-A1-R4_A1g01290	419	1260	Black	OldStrata	9	0.021479714	0.146559591	92.8889	836	1.99522673	1.412524949	Up	DE	A1
MvSl-1064-A1-R4_A1g01288	270	813	Black	OldStrata	1	0.003703704	0.060858062	0	0	0	0	Up	DE	A1
MvSl-1064-A1-R4_A1g00327	207	624	Black	OldStrata	4	0.019323671	0.139009609	85.75	367	1.77294686	1.331520507	NON	NON	A1
MvSl-1064-A1-R4_A1g01404	368	1107	Black	OldStrata	1	0.002717391	0.052128604	71	71	0.192934783	0.439243421	Down	DE	A1
MvSl-1064-A1-R4_A1g01405	344	1035	Black	OldStrata	2	0.005813953	0.076249285	102	204	0.593023256	0.770080032	NON	NON	A1
MvSl-1064-A1-R4_A1g01137	595	1788	Black	OldStrata	6	0.010084034	0.100419289	77.5	465	0.781512605	0.884032016	Down	DE	A1
MvSl-1064-A1-R4_A1g01154	184	555	Blue	OldStrata	2	0.010869565	0.104257207	191	382	2.076086957	1.440863268	NON	NON	A1
MvSl-1064-A1-R4_A1g01159	424	1275	Blue	OldStrata	2	0.004716981	0.068680282	180	360	0.849056604	0.921442675	NON	NON	A1
MvSl-1064-A1-R4_A1g01160	474	1425	Blue	OldStrata	5	0.010548523	0.102706004	124.2	621	1.310126582	1.144607611	NON	NON	A1
MvSl-1064-A1-R4_A1g01161	478	1437	Blue	OldStrata	3	0.006276151	0.07922216	92	276	0.577405858	0.759872264	NON	NON	A1
MvSl-1064-A1-R4_A1g01162	186	561	Blue	OldStrata	2	0.010752688	0.103695169	68	136	0.731182796	0.855092273	Up	DE	A1
MvSl-1064-A1-R4_A1g01163	227	684	Blue	OldStrata	4	0.017621145	0.132744662	87	348	1.533039648	1.238159783	Up	DE	A1
MvSl-1064-A1-R4_A1g01212	922	2769	Black	OldStrata	7	0.007592191	0.087133179	79.5714	557	0.604121475	0.777252517	Down	DE	A1
MvSl-1064-A1-R4_A1g01049	93	282	Centro	Centro	1	0.010752688	0.103695169	45	45	0.483870968	0.695608344	Up	DE	A1
MvSl-1064-A1-R4_A1g00533	318	957	Black	OldStrata	4	0.012578616	0.112154431	160.667	964	3.031446541	1.741104977	NON	NON	A1
